S. No.,Category Name,URL if available,Description(Minimum 80 words),location,contact(Multiple If available),Reviews,Rating,Images
21,ABW Group,http://www.abw.co.in/,"Being one of the leading real estate promoter & developer in the Delhi & NCR region, ABW Group constructs with a conscience. ABW Group signifies the epitome of luxury integrated with superior quality and understated grandeur. The spirit of creativity and perfection of the organization is reflected in its endeavours to achieve excellence, a quality perfected in serving the nation for the past two decades.

Established by Sh. Atul Bansal in the year 1988, ABW Group is credited with introducing Delhi to the concept of ultra-luxury living with lavish specifications. An ISO 9001:2000 certified company, ABW Group has built over one million square feet area of projects in the premium and upscale localities of South Delhi, such as Kautilya Marg, Jor Bagh, Golf Links, Malcha Marg, West End, Shanti Niketan, and the like.

Already famous for its design ingenuity, superior quality, professionalism and on-time delivery, today ABW Group has gone to the next level through creation of world-class commercial hubs and residential projects. ABW’s crowning achievement is the stupendous success of ABW Aditya Niketan-a Mega-Township along NH8, Manesar. In addition, ABW Group completed four mixed use commercial complexes, ABW Tower at IFFCO Chowk, Gurgaon, Corporate Suites at MG Road, Gurgaon, Rectangle 1, Saket and Elegance Tower, Jasola.


Manned by highly qualified professionals and equipped with latest technology, the Company aspires to continue the development and delivery of outstanding IT Parks & futuristic integrated townships of international standards. Counted amongst the most prestigious real estate companies in India, the Company, with its paramount vision, will lead India to newer and greater heights in the field of ingenious construction and artistic infrastructure.","ABW Group
2nd - 3rd Floor, ABW Tower
IFFCO Chowk, Gurgaon
Haryana - 122003",124-4970111,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
22,sobha,http://www.sobha.com/,"Introducing The Park and the Plaza, the 2 & 3 BHK luxury apartments, spread across 10.76 acres in Kanakapura Main Road, South Bangalore is one of a kind and it is specifically designed for people who want ""more"". The Park and the Plaza has to offer ample opportunities to live a sporty life.","The Park and The Plaza,
Kanakapura Main Road",,"1. 

Pros

Good process excellent work atmosphere

Cons

Less projects in other part of India exposed only to south India but requires to have their project in north and east and central part of India as well

Advice to Management

was happy to work here
",3,
,,,,,,"2. 

Pros

- International Standards
- Good work Culture
-Helping Managers

Cons

-Poor pay
-Poor perks
-Low in training

Advice to Management

Increase pay to your employees and retain them
",2,
,,,,,,"3. 

Pros

A great place to learn things from scratch . If your a learner and want to gain good experience this is the right place.

Cons

U are made to work 24*7 . Bad project managers .

Advice to Management

Treat employees as human beings .
",3,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
23,Ideal Group,http://www.ideal.in/,"32 glorious years of the functioning of the Ideal Group has borne witness to the steady growth of each vertical of the Group under the able leadership of Sri S.K. Himatsingka. With successful ventures in Hire Purchase & Leasing, Automobile Dealership, Real Estate, Logistics Services, Alloys & Minerals Trading, the Group is poised to create a niche for itself as a quality accredited corporate entity. Headquartered out of Kolkata, the Group has a pan India presence through its network of offices & businesses.

The growth of the Group, particularly the Real Estate Division, has been further accelerated with Mr. Nakul Himatsingka joining the Group. Not one to adopt a cookie-cutter approach to residential projects, the Group sought the designing & conceptualizing genius of none other than Hafeez Contractor for its projects. The results are there to see. Over a period of time, the Kolkata skyline was changed forever with one after the other landmark projects being delivered with regular consistency by the Group.

32 years, 2,500 happy families. That, in a nutshell, is the basis of why the company's tagline proclaims ""Pillars of Trust"". The company has, over the years, conceptualized and delivered residential & commercial solutions that have become landmarks in their own right and have contributed in uplifting the aesthetics quotient of the adjoining areas creating an overall transformation and enhancement of the respective pin codes.","11th Floor, 
50, Jawaharlal Nehru Road
Kolkata - 700 071",-33-2282-1548/0513/5410,"1. 

Pros

Working as Income tax practitioner independantly is a good thing.

Cons

Salary & benefits are not upto the mark.

Advice to Management

Must see that everybody in the orgaisation gets a fair increment & not only a few.
",3,
,,,,,,"2. 

Pros

They have boutique style offices with a modern look and feel. They have several offices located in all the Brooklyn hot spots. They are decently connected.

Cons

It's every man for himself there - no one has your back. Mandatory office hours and meetings are unreasonable because it takes up very valuable time which should be spent on getting listings.

Advice to Management

You should hire customer service reps and a receptionist at each location. Create an environment conducive to productivity by not wasting your and your agents' time on meetings for starters.

    Share on Facebook
    Share on Twitter
    Share via Email
    Copy Link

",4,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
24,Terraform realty,http://www.terraformrealty.com/,"Right from the time of our inception in 1976, the Company has played a vital role in raising the standard of living of all its associates and customers. The Company has always focused on making life dependable and secure through effective planning. 

The Company created landmarks under the popular name Everest Developers. Today as part of its strategic positioning is now names as Terraform Realty. By building quality infrastructure and creating lifestyles at par with international standards, Terraform Realty has carved a niche for itself. Our residential and commercial complexes depict high utility & customer centric approach, resulting in our creations becoming landmarks at prime locations across Mumbai and Thane. 

Infrastructure development and adding value to life has become a way of life at Terraform Realty. With a qualified team of professionals supervising every stage of buying cycle, we ensure quality experience in all your endeavors with us. Rated as one of the premium real estate development companies in Mumbai, Our philosphy is simple: ""Enriching life with nature & technology."" 

With over 35 years of delivering dream properties, our focus still remains the same: Pursuit of Excellence. Our priority still remains unchanged: Our Customers. No wonder, our customers and associates choose us over the rest. ","Off Ghodbunder Road, Opp Parasvanath Engg College, Kasarvadawli, Thane West, Thane, Maharashtra 400601",022 2526 4900,1. Nice place for family and good locality,4,
,,,,,,2. Good place to live. Well connected with Ghodbunder Road. There is a nice lake and garden with walking track in front of the premises,3,
,,,,,,3. Its good residential complex hav two towers of s + 18 floors  called daffodil & petunia,3,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
24,Unishire,http://www.unishire.com/,"At Unishire, the focus is on acquiring the most sought after locations that give customers the benefit of both convenience as well as future appreciation. Thereby providing an unmatched value proposition that justifies the worth of every hard-earned rupee invested.Unishire is defined by innovation. Innovation in design, specifications and amenities have paved the way for Unishire to redefine living spaces and create benchmarks in the form of unique offerings which enhance the way people live, work and play.","Address: No.36, Railway Parallel Road,
Nehru Nagar, Next to Reddy Petrol Bunk,
Kumara Park West, Bengaluru,
Karnataka 560020",80 2346 1715/6,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
25,VGN Developers,http://vgn.in/,"Established in the year 1942, VGN has successfully carved a niche for itself in the ever-dynamic restate industry over the last 72 years. An ISO 9001:2008 certified company, VGN is known as much for its beautiful, world-class homes as it is for following best practices in the industry.

With over 20 million sq. ft. of residential projects under development, VGN is one of the most respected and reputed builders in Chennai. Starting with affordable housing and spreading our wings to ultra-luxury segment, we have catered to all sections of the society. Synonymous with quality, timely delivery, expertise and trust, VGN is a name that is here to stay.

While we may have numerous achievements under our belt, we take pride in the fact that we have been helping thousands of families realize their dreams, providing exponential returns on their investments. And it is this satisfaction that we derive from what we do that makes us venture into newer and more challenging areas in property development.","No.15, Wallace Garden, 2nd Street, Nungambakkam, Chennai-600006.",44 43439900,1. Management was very good. Gave good experience in marketing. Enjoyed tours with co workers. They have given me a chance to work in Singpore and run a branch individually in Singapore for 2 years,4,
,,,,,,"2. VGN is the Construction Company Here i Learned Recruitment in the Construction field and how to process payroll Skilled and Unskilled Labour, Compliance and Laws",3,
,,,,,,"3. My experience in Budgets for big residential projects was very useful. I was a coordinator for implementing SAP for the Residential and Infra Operations. That experience was very good and we were able to make the first run in 4 months time. Other than that, the Company does not have any scope for professionals. Hence, it was apt for me to come out of the company",3,
,,,,,,"4. Every day i get to do new new work and its interesting. I have learned to work in Auto cadd, revit, drawings such as sections, elevation in 3D and i have learnt to find quantities too...The management is very genuine and my co- workers are very friendly and helpful.",4,
,,,,,,,,
,,,,,,,,
,,,,,,,,
26,perigreen,http://www.perigreen.com/,"Perigreen is a new generation Socio Entrepreneurial Initiative with a vision of Sustainable Green development by promotion of Eco themes through continued Pro Social Business Innovations, integrating Environmental protection and Natural Resource Management.

PeriGreen: Peri~ around; about; enclosing everything   Green

Perigreen is a Green/ Eco concept implementation organization that contributes to a greener world through its Eco sustainable solutions in the areas of Food / Agriculture, Alternative Energy, Agri business, Eco Realty, Infrastructure, Rural development, Leisure and wellness and other green biz adaptations.

We in this 21st century are experiencing the repercussions of our greatest mistake i.e. Development at the cost of Ecodegradation leading to illogical exploitation of Mother Earth and her Natural resources. Considering the Mankind’s bonding with Mother Nature reaching the fragile tipping point, Perigreen through its business innovations takes a step ahead in this direction to contribute in making this world a better place for us and our future generations.","106,206 Babukhan Millinium Center,
Somajiguda,
Hyderabad- 500082","40-66629922,66109911",,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
27,wavegroup,http://www.thewavegroup.com/,"Wave Group - a leading business conglomerate that has expanded across industries to create a niche for itself. The integral beliefs of the Group are founded on hard work and team spirit. It has been steered by the long term vision of the Late Mr. Kulwant Singh Chadha since 1963. Today, the Wave Group boasts an impressive portfolio of businesses, including sugar manufacturing, distilleries and breweries, real estate, malls and multiplexes, beverages, sports, education and entertainment.
Wave Group's policy has been to efficiently and effectively optimise its diverse businesses and maximise output by participating in all aspects of business. This has resulted in exponential growth in the Group's productivity, its ability to transform industries and in creating opportunities for entirely new market segments. The business model has evolved significantly through strategic investments in services and technologies, ensuring that the Wave Group maintains its competitive advantage in every sector.
The Wave Group attributes a major part of its success to its visionary, the erstwhile Chairman Mr. Gurdeep Singh (Ponty) Chadha. His pioneering vision to conquer new heights and fulfil the dreams of all its stakeholders is the key to driving the Group to continuously set new benchmarks.","C-1, Sector 3, Noida—201301
Uttar Pradesh, India",120-4180500,"1. 

Pros

Working environment is very nice in wave cinemas.I enjoy my work everyday.

Cons

Sometimes i am not able to give time to my family

Advice to Management

Management is very good.
",4,
,,,,,,"2. 

Pros

Autonomy of work, have opportunities to improve practices, Good place for multi-tasking workforce

Cons

unorganized sector, comparatively immature with respect to other industries/ verticals, needs more advancement to be at par with other sectors
",3,
,,,,,,"3. 

Pros

easy life,
cool
good for lazy people
cool for retards
will never fire you

Cons

no learning,

only for retards
no increment
HR deparment is bad

Advice to Management

please change the HRs
",3,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
28,Omkar Realtors & Developers Pvt Ltd,http://www.omkar.com/,"Since its inceptuion 2003, Omkar Realtors & Developers has created opulent spaces that have epitomized the pinnacle of luxury . Backed by a strong legacy that spans over five decades,Omkar
Is managed by second generation entrepreneurs who have carved a niche for themselves in the world of real estate.
","Omkar Realtors & Developers Pvt Ltd, Omkar House, Off Opp Chunnabhatti Signal,, Eastern Express Hwy, Sion East, Sion, Mumbai, Maharashtra 400022",1800 212 8888,"1. 

Pros

Salary on time, office timings are good

Cons

Owner driven company, higher attrition

Advice to Management

Try to make it more open door
",3,
,,,,,,"2. 

Pros

Good company, pay on time,good HR depart , good account department

Cons

Poor Management, any time people loose job ,as per committed they are not fulfilled the committed payment at close of the contract

Advice to Management

Higher manager involve each and every corner of Mep business
",1,
,,,,,,"3. 

Pros

World Class technology and Super Luxurious Projects

Cons

No official internship or placement facilities

Advice to Management

Kindly start picking up future engineers from college placement
",2,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
29,Marathon Group,http://marathon-nexworld.com/,"Marathon Realty has recently launched its 100 Acres Megatownship Marathon Nexworld with 1 & 2 Bhk Spacious Apartments located at Dombavali (E), Mumbai. It is the brand new pioneering creation located at an excellent locality of Mumbai which is much far from the hasty tones and fuzziness of the city. For the newer looking branded royal homes, this extraordinary residential project offers 1, 2 and 3BHK apartment in a sprawling land with extensive greeneries around specifications of quality construction with bizarre hi-tech and architectural designs, you can be sure of loving the place where you would see your bright future. Offering you all sorts of luxuries like round the clock security, 24x7 power backup with provisions for lifts, parking, rain water harvesting systems are provided. At an exclusive modern clubhouse, you can enjoy delights like gymnasium, swimming pool, spa, saloon with jogging and walking tracks. Taking a first step towards this project for investment, you can gain higher profits in future as it is located at a great developing neighborhood close to the civic amenities of the metropolis..","Kalyan-Shil Road, Thane Mumbai, Maharashtra ",9819909859,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
30,Skyline Builders,http://www.skylinebuilders.com/,"Since 1989, by launching its first project named Skyline Mansion at Gandhi Nagar, Cochin, Skyline Builders has been playing a major role in implementing new lifestyle in Kerala. From its inception, Skyline Builders strictly follows the aspects like on-time delivery, quality and trust that turned out to be the USP of the brand. The apartments and villas provide ultimate luxury which attracts the investors and residents alike.","Ist Floor,
Shobha Complex,
TC 16/457(3), Edapazhanji,
Thycaud PO, Thiruvananthapuram-695014","471 273 5153, 471 273 5152","1. Company started operations in 1989. Place with focused management practices, initiatives are encouraged and a great team. The average tenure of employees is 10-15 yrs due to strong bonding and Skyline culture of caring and nurturing people. CEO encourages open and transparent communication with strong emphasis on personal and professional integrity. Innovative ideas are welcome and rewarded.",3,
,,,,,,"2. an awesome architects studio with several type of projects like residential, schools, industrial projects etc. nice work environment with just 3 staffs which grew up to 26 staffs now.",2,
,,,,,,3. Day to Day working and work environment is good only constrain is Salary. Good management and Staff support. They give freedom for my work and so I can take responsibilities without fear. The working Hrs is good and I can enjoy my job here.,3,
,,,,,,"4. I have learned Marketing of real estate, new projects, conducting marketing activities to promote our new projects.
Identifying the potential customer and arranging site visit and explaining details to the customers, clarifying their doubts. Help them by giving clear-cut idea about our projects and specification, suggesting them the exact requirements, Making sale of all new projects
Arranging financial assistance to the customers, for the purchase of apartments, since we have tied up with all major banks in India.
The Management is simply superb who is always be in communicable and giving motivation",5,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
31,Raheja,http://www.raheja.com/,"Raheja Developers Limited was incorporated in the year 1990 by Mr. Navin M. Raheja, the first generation entrepreneur. Today, the company enjoys a strong presence in NCR and has made its position as one of the largest companies in the Real Estate Industry. The company is one of the fastest growing entities in the realty sector with a difference that offers luxury for reasonable costs, excellent customer care levels with highest customer satisfaction index and the highest imaginable standards for the welfare of its staff, society as well as for the environment.
The Company has traversed a path of steady growth & expansion and has posted increasing turnover and profits year after year. The systems have been strengthened and new processes have been added.

Today, the company is one of the largest in the Real Estate Industry with projects all over India. It is also one of the biggest companies in India with executable and sanction projects over 60 million sq. ft. in hand with projects spanning over 1000 acres of land at various stages of deliberations. The company so far has executed and delivered 36 million sq.ft. of mainly residential and commercial projects including farmhouses, plotted development and hotel properties.","Fourth Floor Rectangle One
D-4 District Centre

Behind Hotel Sheraton
Saket
New Delhi - 110017
India",11-40611111,,,
