S. No.,Category Name,Description(Minimum 80 words),contact(Multiple If available),Reviews,Rating,Images
20,Azim Premji,"Wipro chairman Azim Premji pioneered a new era of philanthropic leadership by donating half of his fortune to a trust. Leading key educational initiatives through Azim Premji Foundation, he also figured in the top 10 list of Asian tech billionaires 2014 with a net worth of $16 billion. E-commerce industry has recently caught Premji’s fancy and he has made substantial investments in Myntra and Snapdeal.",,1.A best place to start off with our working life. Awesome colleagues. Learned how to work with a team bases on hard work and trust among members.In Azim premji group  we are feeling a good working enviornment.,3,
,,,,"2.Working at Azim Premji Foundation was enjoyable and satisfying. the work environment was excellent. Opinions were heard and opportunities were given. The hardest part of the job was that the progress was in line with government system which is slow. We enjoyed working there because we would go to government schools, meet people involved in all levels of school system. From parents till DIET Principal. Overall, I had an awesome experience.",4,
,,,,"3.good experience
creativity
learning in education
good staff members
job culture is good
managment is good
time taken job",,
,,,,,,
21,APJ Abdul Kalam,"Former President of India APJ Abdul Kalam, was one of the most popular scientists this country has produced. He was also one of the most loved leaders of our nation and was called the ‘People’s President’. In July 2015, when Dr. APJ Abdul Kalam died while addressing a group of students in Shillong, the nation erupted in an unprecedented outpouring of grief. The country’s media, social media, and other channels were clogged with mourning messages from millions of Indians. A seven-day state mourning was declared and many nations reacted with condolence messages. His funeral attracted millions to Rameshwaram in a befitting farewell to one of the nation’s greatest leaders and scientists.",,1. Wings of Fire is an autography of APJ Abdul Kalam covering his early life and his work in Indian space research and missile programs. such a wonder ful journery.,4,
,,,,2.As a president of india APJ abdul kalam is the best personality .,2,
,,,,3. APJ Abdul Kalam Birthday celebrated as worlds students day. because he loves alot to student . i am very happy for this decision .,2,
,,,,,,
22,Saina Nehwal,"Twenty-five-year-old Saina Nehwal first made news back home in India in 2012 when she became the first Indian to bag the bronze medal at the 2012 London Olympic Games. That, however, was only the beginning. Many more awards and much glory were to come her way. 2015 has been a very special year for Saina. The Indian sports star has finally claimed her rightful place at the top of the Badminton World Federation Women’s Singles rankings. Saina is an inspiration to all the young badminton players of the country who after Prakash Padukone did not have an icon to look up to.",,"1. Saina Nehwal’s phenomenal success as an international badminton player is one of the most inspiring stories of Indian sports.Saina comes from a middle-class family and has been groomed into a world-class player in the face of awesome odds.This is an account of her rise as a champion with the selfless support of her parents – Dr Harvir Singh, an agricultural scientist, and Usha Rani – and the dedication of her coaches.Saina ranks among the top few players in the world andis an icon for the young. But success hasn’t changed her.Strong family values make her the girl next door. She is known for her integrity, courage and persistence.The story also unfolds against the backdrop of Indian badminton fighting to earn its place in the sun in acountry which worships only cricket.",3,
,,,,,,
23,Arundhati Roy,"Arundhati Roy is a famous Indian novelist and social activist. Arundhati Roy came into limelight in 1997 when she won the Booker Prize for her first novel ""The God of Small Things"". She was awarded Sydney Peace Prize in 2004. 

Arundhati Roy was born November 24, 1961 in Assam. Her mother was a Keralite Christian and her father was a Bengali Hindu. Their marriage was not successful and Arundhati Roy spent her childhood years in Aymanam, Kerala with her mother. Arundhati's mother, who was a prominent social activist, founded an independent school and taught her daughter informally. 

At age of sixteen Arundhati left home, and eventually enrolled at the Delhi School of Architecture. There she met her first husband, Gerard Da Cunha, a fellow architecture student. Their marriage lasted four years. Both of them did not have great love for architecture, so they quit their profession and went off to Goa. They used to make cake and sell it on the beach to make living. This continued for seven months after which Arundhati returned back to Delhi.
",,"1. Arundhati Roy is great  Indian novelist, political activist. She is best known for her first novel The God of Small Things which won the Man Booker Prize for Fiction.",4,
,,,,,,
,,,,,,
24,Mirza Ghalib,"Mirza Ghalib was born in Agra into a family descended from Aibak Turks who moved to Samarkand after the downfall of the Seljuk kings. His paternal grandfather, Mirza Qoqan Baig Khan was a Saljuq Turk who had immigrated to India from Samarkand (now in Uzbekistan) during the reign of Ahmad Shah (1748–54). He worked at Lahore, Delhi and Jaipur, was awarded the subdistrict of Pahasu (Bulandshahr, UP) and finally settled in Agra, UP, India. He had 4 sons and 3 daughters. Mirza Abdullah Baig Khan and Mirza Nasrullah Baig Khan were two of his sons. Mirza Abdullah Baig Khan (Ghalib's father) got married to Izzat-ut-Nisa Begum, and then lived at the house of his father in law. He was employed first by the Nawab of Lucknow and then the Nizam of Hyderabad, Deccan.
Ghalib started composing poetry at the age of 11. His first language was Urdu, but Persian and Turkish were also spoken at home. He got his education in Persian and Arabic at a young age. When Ghalib was in his early teens, a newly converted Muslim tourist from Iran (Abdus Samad, originally named Hormuzd, a Zoroastrian) came to Agra. He stayed at Ghalibs home for 2 years. He was a highly educated individual and Ghalib learned Persian, Arabic, philosophy, and logic from him. ",,1. Most of his work are on sadness and despair but he has also written some very good love shayari. ,3,
,,,,,,
,,,,,,
25,Vikram Seth,"Vikram Seth was born to Leila and Prem Seth in Calcutta (now Kolkata). His family lived in many cities including the Bata Shoe Company town of Batanagar, Danapur near Patna, and in London. 
His younger brother, Shantum, leads Buddhist meditational tours. His younger sister, Aradhana, is a film-maker married to an Austrian diplomat, and has worked on Deepa Mehta's movies Earth and Fire. (Compare the characters Haresh, Lata, Savita and two of the Chatterji siblings in A Suitable Boy: Seth has been candid in acknowledging that many of his fictional characters are drawn from life; he has said that only the dog Cuddles in A Suitable Boy has his real name — ""Because he can't sue"". Justice Leila Seth has said in her memoir On Balance that other characters in A Suitable Boy are composites but Haresh is a portrait of her husband Prem.) 

Seth spent part of his youth in London but returned to his homeland in 1957. After receiving primary and commencing secondary education at the Doon School in Dehradun in India, Seth returned to England to Tonbridge School. From there, Seth studied philosophy, politics, and economics at Corpus Christi College, Oxford, where he developed an interest in poetry and learned Chinese. After leaving Oxford, Seth moved to California to work on a graduate degree in economics at Stanford University. 
",,"1. Vikram Seth is an great poet, novelist, travel writer, librettist, children's writer, biographer and memoirist of India. 
",3,
,,,,2. His novel ‘A Suitable Boy’ is without doubt his most important work in his career as a writer. It is one of the longest novels ever written in the English language and deals with the national political issues in the period leading up to the first post-Independence national election of India in 1952,4,
,,,,,,
,,,,,,
26,Goswami Tulsidas,"Goswami Tulsidas was a great Hindu poet saint, reformer as well as philosopher and composed various popular books. He is renowned for his dedication to the Lord Rama and being the author of great epic, the Ramcharitmanas. He was always admired as a reincarnation of the Valmiki (original composer of the Ramayana in Sanskrit and Hanuman Chalisa). Goswami Tulsidas lived his whole life as well as died in the city of Benares society in the India.
Tulsidas was born at the 7th day in the month of Shraavana (July or August), in the bright half of the lunar. His birth place is identified at the Rajapur (also known as the Chitrakuta) at the banks of the Yamuna river in UP. The name of his parents is Hulsi and Atmaram Dubey. According to the biographers, various opinions are there regarding the birth year of Tulsidas. Many of them say according to the Vikrami Samvat that he took birth in 1554 and other say it was 1532. He lived his life around 126 years.",,1. Goswami Tulsidas was the composer of the original Ramayana into Sanskrit.,3,
,,,,"2.  It has the collection of Kavittas in Braja. Just like the epic, Ramcharitmanas, it is also has seven books and many episodes.",3,
,,,,,,
27,Rabindranath Tagore,"Rabindranath Tagore (1861-1941) was the youngest son of Debendranath Tagore, a leader of the Brahmo Samaj, which was a new religious sect in nineteenth-century Bengal and which attempted a revival of the ultimate monistic basis of Hinduism as laid down in the Upanishads. He was educated at home; and although at seventeen he was sent to England for formal schooling, he did not finish his studies there. In his mature years, in addition to his many-sided literary activities, he managed the family estates, a project which brought him into close touch with common humanity and increased his interest in social reforms. He also started an experimental school at Shantiniketan where he tried his Upanishadic ideals of education. From time to time he participated in the Indian nationalist movement, though in his own non-sentimental and visionary way; and Gandhi, the political father of modern India, was his devoted friend. Tagore was knighted by the ruling British Government in 1915, but within a few years he resigned the honour as a protest against British policies in India.
Although Tagore wrote successfully in all literary genres, he was first of all a poet. Among his fifty and odd volumes of poetry are Manasi (1890) [The Ideal One], Sonar Tari (1894) [The Golden Boat], Gitanjali (1910) [Song Offerings], Gitimalya (1914) [Wreath of Songs], and Balaka (1916) [The Flight of Cranes]. 
",,1. Tagore had early success as a writer in his native Bengal. With his translations of some of his poems he became rapidly known in the West.,4,
,,,,"2. ""Gitanjali,"" or Song Offerings, is a collection of poems translated by the author, Rabindranath Tagore, from the original Bengali. This collection won the Nobel prize for Tagore in 1913. This volume includes the original introduction by William Butler Yeats that accompanied the 1911 English language version. ""Gitanjali"" is a collection of over 100 inspirational poems by India's greatest poet.",4,
,,,,3. Rabindranath Tagore was an authorial voice in the pre-independence era of India.,3,
,,,,,,
28,Kalidasa,"One of the greatest Sanskrit poets that India has ever had, the life history of Kalidasa is absolutely fascinating and interesting. Though the exact time of his fame is not known, it is estimated that he survived around the middle of the 4th or 5th century A.D.The poems he wrote were usually of epic proportions and were written in classical Sanskrit. His creations were used for fine arts like music and dance. Regarded as an outstanding writer, Kalidasa resided at the palace of Chandragupta in Pataliputra (modern day Patna). He was one of the gems of the court of Chandragupta. According to legends, Kalidasa was blessed with good looks. ",,"1. One of the greatest Sanskrit poets that India has ever had, the life history of Kalidasa is absolutely fascinating and interesting.",4,
,,,,"2.Kumarasambhavam is arguably Kalidasa's finest works to survive. The mahakavya narrates the origins of Kumara/Subramanya/Murugan starting with birth of Uma/Parvati, his mother and Uma's courtship with Shiva, his father, that leads to their nuptials. As is the tradition in Indian mythology, there is no great event without a divine hand progressing the fate. ",3,
,,,,,,
29,Shakuntala Devi,"A mathematical prodigy, also known as the 'human computer', Shakuntala Devi was known for her complex problem-solving skills without the aid of any mechanical device. During her early years, she shot to fame by mentally calculating one of the toughest mathematical multiplications 10 seconds before the fastest and the most efficient computer of the time. Her problem-solving prowess came to the limelight with her performances at various institutions where she answered complex mathematical questions with great ease. She soon rose to prominence for her adept calculations and her confident demeanor. According to many sources, this famous prodigy met Albert Einstein and even he was taken aback by this acclaimed genius' skills. She was able to answer all of his challenging mathematical problems, prompting him to call her a ""Mathematical Wizard"". Apart from being an unparalleled mathematician, Devi was also an astrologer, activist and a prolific writer, whose works went on to inspire millions of people. Some of her best-known works are 'Figuring: the Joy of Numbers', 'Astrology for You', 'Perfect Murder' and 'The World of Homosexuals'. Scroll further for more information on this intriguing personality. ",,"1. She was also a successful astrologer and authored several books on the subject.
",3,
,,,,2. Mitchell then rechecked the answer and realized that Devi’s answer was the correct one and the original answer was wrong. This news spread across the world and Shakuntala earned the title of the 'Human Computer'.,3,
,,,,,,
30,Homi Jehangir Bhabha,"An Indian born scientist who played an important part in contribution to The Quantum Theory was born on October 30, 1909 in Bombay.

His name is Homi Jehangir Bhabha. He was the first one to become the Chairman of Atomic Energy Commission of India.
Bhabha belonged to a wealthy Parsi family that was very influential in the west of India. He got a doctorate degree from the University of Cambridge in 1934 after he had completed his studies from the Elphinstone College and graduated from the Royal Institute of Science that resided in Bombay. All this time he worked along with Neil Bohr that led them to discover the quantum theory. Bhabha also did some work with Walter Heitler and they made a breakthrough in the cosmic radiation’s understanding by working on cascade theory of electron showers. In 1941, Bhabha got elected for his work in the Royal Society.
",,"1. The present biography of Bhahbha presents the legendary scientist not only from the perspective of this contirbution to Indian Science not only from the perspective of his contribution to Indian Scienc and Technology but also deals with his othe areas of interest and concerns. The reader through these pages, gets to know and institution builder and administrator, a doplomat, a dreamers, a painter a music lover, a sensititve man that Bhabha was, besides also getting an insight into the joy and pain of the aspirations and limitations of a newly independent nation.",3,
,,,,,,
31,Dr.J.C.BOSE,"Jagdish Chandra Bose was born on November 30, 1858 in Mymensingh (now in Bangladesh). His father Bhagabanchandra Bose was a Deputy Magistrate. Jagadish Chandra Bose had his early education in village school in Bengal medium. In 1869, Jagadish Chandra Bose was sent to Calcutta to learn English and was educated at St.Xavier's School and College. He was a brilliant student. He passed the B.A. in physical sciences in 1879.
He was the first to prove that plants too have feelings. He invented wireless telegraphy a year before Marconi patented his invention. Jagdish Chandra Bose was an eminent Indian scientist. He was the first to prove that plants and metals too have feelings.",,"1. The great biologist, who showed those plants, too can feel in their own way. He saved money:he bought a small laboratory and built his equipment; and scientists in Europe and America wondered at his discoveries. A true patriot and a great man.",5,
,,,,"2. It was an eminent Indian scientist, who explained that plants also suffer pain like us.",4,
,,,,3. Sir Jagadish Chandra Bose is one of the most prominent first Indian scientists who proved by experimentation that both animals and plants share much in common.,4,
,,,,,,
32,J. R. D. Tata,"He was born as the second child to an Indian father and a French mother in Paris, France, in 1904. He had one elder sister and two younger brothers.
He spent his childhood in France and attended the Janson De Sailly School in Paris. He also went to the French Foreign Legion, a unique military unit in the French Army.
He hailed from a wealthy family and was educated in France, Japan and India. He went to the Cathedral and John Connon School in Bombay.
In 1923, he went to England for higher studies and enrolled in a crammer school. During this time, a law in France required all young boys to draft in the army for at least one year.
J.R.D.Tata served as the Chairman of the Tata Group for over a period of 50 years making it India’s best known global brand. More than being just a successful business, the group played a very active role in making the Indian society better.

",,"1. The man who made Tata Group one of the most prestigious and successful industrial groups in India, Jehangir Ratanji Dadabhoy Tata, better known as J.R.D.Tata, was a fearless aviator and a visionary ahead of his times. ",4,
,,,,2. Tata had an idyllic childhood.he is a great person of the world.,4,
,,,,3. JRD Tata was one of the most enterprising Indian entrepreneurs. He was a pioneer aviator and built one of the largest industrial houses of India.,3,
,,,,,,
33,Lakshmi Mittal,"Until 1960's, the village Lakshmi Mittal was born into was deprived of basic amenities like electricity, water etc. His family then moved to Calcutta in West Bengal, where his father Mohan Lal Mittal set up a small steel plant. He has two siblings (brothers), Pramod and Vinod Mittal, who run the family business.
His first step towards reaching the billionaire club, took place in the early seventies, when he started working in his father's steel firm. In 1976, he moved to Indonesia, on the realization of the fact that opportunities for higher growth were limited to him in India.There, with his father's backing, he found a steel plant, Ispat Indo and made this company a success.
A shrewd businessman, his success has largely been built on buying up loss making state owned firms and turning their fortunes around.
In 1989, he turned a government owned firm that was making a loss of $1 million a day, in Trinidad and Tobago, into a profitable business. It was a situation, where US consultants and German experts had failed to find any solution.
With the similar strategy, he went ahead acquiring various firms all over the world, proving every risk worth its effort.
His list of acquisitions is a lengthy catalogue, including
Sircasta: Mexico's third largest steel producer, in 1992,
Steel Blast furnace plant, owned by the state in Kazakhastan,
Steel plant in Europe,Germany in 1995, along with the formation of two new companies Ispat international Ltd and Ispat Shipping to assist the group.
",,1. He is an active philanthropist.,3,
,,,,"2. An astute businessman, with a knack of calculating risks to his own advantage, he has practically made his mark in the world.",3,
,,,,,,
34,Dhirubhai Ambani,"Dihrubhai Ambani was born in a Modh baniya family to Hirachand Govardhandas Ambani and Jamanaben in the village of Chorwad in the district of Junagarh. His father was employed as a school teacher while his mother was a homemaker.Raised in frugal living conditions, right from an early age, he was aware of the insufficiencies that the family dealt with due to the meagre income of his father and large expenses.While at school at Junagarh, he was elected as the General Secretary of the Junagarh State Union. He organized a rally on Indian Independence Day, defying the rules of the Nawab, head of the state.
Next, he became a part of the Praja Mandal Movement that organized rallies to bring about constitutional reforms in the state. The result was the fleeing of the Nawab to Pakistan and Junagarh being a part of the Indian Union. It was his passion and active political involvement that brought him to the notice of political leaders.
In 1949, a new Socialist party emerged from the Congress of which he found himself a part of. For the upcoming municipal elections in Junagarh, he started campaigning for his favourite candidates, which eventually resulted in their victory. Though he was offered a place in the Party, he declined the offer to walk on road of his true calling.His foresightedness and ability to judge helped him crack two most hefty deals in the yarn market that earned him the flush of capital required for the future Reliance Textiles. Playing on his idea of establishing a manufacturing unit, he soon realized the same by setting up a textile mill in Naroda, Ahmedabad in 1966.By January 1967, his dreams started to realize as the Naroda factory began producing the finest quality of Nylon; but the new company had no buyers in the market as the wholesalers refused to buy fabric from Reliance at the instance of established big mill owners. .Between 1984 and 1996, the mill experienced a grand makeover as computerized and high-tech machines replaced the old traditional ones making Reliance the grandest composite mill in the country.",,"1. Ambani's his great achievement was that he showed Indians what was possible. With no Oxford or Yale degree and no family capital, he achieved what the Elite ""brown sahibs"" of New Delhi could not: he built an ultramodern, profitable, global enterprise in India itself. What's more, he enlisted four million Indians, a generation weaned on nanny-state socialism, in an adventure in can-do capitalism, convincing them to load up on Reliance stock.",4,
,,,,2. There are many other factors in this successfully journey. He paid so much bribe to all level of politics.,4,
,,,,3. Hardworking and very efficient person great and wonderful achievement,3,
,,,,,,
35,indra gandhi,"Indira Gandhi was born on November 19, 1917, in Allahabad, India. Gandhi was born into the politically prominent Nehru family; her father, Jawaharlal Nehru, served as India’s first prime minister. Gandhi served three consecutive terms as prime minister, between 1966 and 1977, and another term beginning in 1980. In 1984, Gandhi was assassinated by her Sikh bodyguards.Gandhi was elected president of the Indian National Congress in 1960. After her father’s death, Gandhi was appointed minister of information and broadcasting. When her father’s successor, Lal Bahadur Shastri, died abruptly in 1966, India’s congress appointed her to the post of prime minister.She surprised her father’s old colleagues when she led with a strong hand, sacking some of highest-ranking officials. Gandhi subsequently brought about great change in agricultural programs that improved the lot of her country’s poor. For a time, she was hailed as a hero.",,"1. When Indira Gandhi was brutally assassinated in 1984, she had lived through India's tortured liberation from the British Empire, the bloody era of partition, and the monumental difficulties associated with sustaining the world's largest and most troubled democratic nation. Now comes a unique biography of the accomplished politician. Photos.",3,
,,,,"2. As someone who was born just a year before Indira Gandhi was assassinated, my knowledge and understanding of her life was limited to the propaganda that made for text book reading in school. A very definitive (though limited) picture is presented about almost every person of national importance in school texts and it becomes the underlying basis for whatever ideologies one formed around these persons and subjects, unless there was an inclination for further reading. ",5,
,,,,,,
37,Vikram.A.Sarabhai,"Vikram Ambalal Sarabhai was born on August 12, 1919 at Ahmedabad in an affluent family of progressive industrialists.Considered the Father of the Indian space program; instrumental in establishing the Physical Research Laboratory (PRL) in Ahmedabad in November 1947; was Chairman of the Atomic Energy Commission. He along with other Ahmedabad-based industrialists played a major role in the creation of the Indian Institute of Management, Ahmedabad.The year 1957-1958 was designated as International Geo-physical year (IGY). The Indian program for the IGY had been one of the most significant ventures of Sarabhai. It exposed him to the new vistas of space science with the launching in 1957 of Sputnik-I. Subsequently, the Indian National Committee for Space Research was created, of which Vikram Sarabhai became Chairman. With active support from Homi Bhabha, Vikram Sarabhai, set up the first Rocket Launching station (TERLS) in the country at Thumba near Thiruvananthapuram on the Arabian Coast, as Thumba is very close to the Equator. The first rocket with sodium vapour payload was launched on November 21, 1963. In 1965, the UN General Assembly gave recognition to TERLS as an international facility. After the sudden death of Homi Bhabha in an air crash, Vikram Sarabhai was appointed Chairman, Atomic Energy Commission in May 1966. He wanted the practical application of science to reach the common man. He decided to acquire competence in advance technology for the solution of country’s problems based on technical and economic evaluation of its real resources. He initiated India’s space programme, which today is renowned all over the world. Dr. Vikram Sarabhai was awarded with Shanti Swarup Bhatnagar Medal in 1962 and Padma Bhushan in 1966. Vikram Sarabhai passed away in his sleep on December 31,1971.Read more at http://www.iloveindia.com/indian-heroes/vikram-sarabhai.html#g2jVgorucHDsQWYw.99",,"1.Vikram A Sarabhai Community Science Centre ,every child should visit this place at least once. it debunks the belief that science is tough or boring. there are puzzles that any visitor can try a hand at. there are also classes being conducted there for the budding scientists.",4,
,,,,"2.Vikram Sarabhai (1919??""71), the renaissance man of Indian science, visualized the impossible and often made it happen. Founder of India's space programme, Vikram dreamed of communication satellites that would educate people at a time when even a modest rocket programme seemed daring; of huge agricultural complexes serviced by atomic power and desalinated sea water",4,
,,,,"3.A long-due tribute to a founding father of India, but should spur more",4,
,,,,4.VIKRAM A SARABHAI COMMUNITY SCIENCE CENTER..... located near AMDAVAD NI GUFA opposite LD COLLEGE it is very usefull for practical knowledge for learning people,3,
39,Gulzar,"Born Sampooran Singh Kalra in Deena, in the Jhelum District in what is now Pakistan, he came to Delhi after the partition during independence as a poet. He joined Bimal Roy Productions in 1961 and got his first break as a lyricist writing for Bimal Roy's Bandini (1963). The success of this film made him Bimalda's full-time assistant and got him writing for films by acclaimed directors like Hrishikesh Mukherjee and Asit Kumar Sen. Some of the films he has written include Anand (1971), Guddi (1971), Bawarchi (1972), and Namak Haraam (1973) for Mukherjee; and Do Dooni Char (1968), Khamoshi (1970), and Safar (1970) for Sen.Musically, Gulzar was unbeatable. Being a lyricist and collaborating with film composers, he always had a high quality of music in his films, especially with Rahul Dev Burman. And while Burman became a pop icon with his tunes from Yaadon Ki Baaraat (1973) and Hum Kisise Kum Naheen (1977), he also gave Gulzar classic pieces with which to work in Khushboo (1975) and Ijaazat (1987).

Sadly, the 1980s and 1990s saw a decline in Gulzar the director, and although films such as Lekin... (1990) and Maachis (1996) had their moments, his last film to date, Hu Tu Tu (1999), was a misfire. However, he tried his hand at television with the much acclaimed television film Mirza Ghalib (1988). Made about the poet's life and starring Naseeruddin Shah in the title role, the serial was a landmark in Indian Television. Gulzar has also directed documentaries on Amjad Khan and Pandit Bhimsen Joshi as well as ""Shaira,"" a film based on Meena Kumari. He has also turned his creativity into other channels--he has written screenplays for films like Masoom (1983) and Rudaali (1993), and has written the lyrics for films like Dil Se.. (1998) and Saathiya (2002).",,"1.I bet all those who like Pancham like Gulzar too(Pancham ke saath Gulzar free offer!). If you have listened to any of Gulzar's narrations, you will understand why his words have so much'wazan'(weight).Gulzar is surely a genius and a pukka Kalakar as he is sankeee(crazy) as once he had burnt all his poems.God, we must have lost lots of splendind penned poems in that Impulsive act of his. But I am sure, that incidence must have rejuvenated the Gulzar that we read, listen and see today! Friends I myslef am a poet and Gulzar is one of my Guru's so this review is special for me!

",4,
,,,,"2.Gulzar is truly the poet with substance.
I like all the songs from your review, especially Aandhi, Parichay and Marasim.",3,
,,,,3.Gulzar has penned down some of the finest lyrics in Hindi movies. The beautiful poetry that he has written over the years has touched the hearts of many,4,
,,,,4. Gulzar is actually a clean-shaven sikh.He has this unique gift of viewing the ordinary extraordinarily.He can create memorable whacky songs out of mundane situations.,3,
,,,,,,
40,Guru Dutt,"uru Dutt  Shiv Shankar Padukone, the famous director and actor was born on 9th July 1925 in Mangalore, Karnataka. He received his early education in Calcutta. Guru Dutt learned dancing at Uday Shankar's, India Cultural Centre at Almora for two years. Later he moved to Maharashtra where he began his association with the film world. He learned every aspect of film making by assisting major directors in studios like Prabhat, Famous Pictures, Bombay Talkies etc.With Aar Paar, Guru Dutt started his own production company. Other films that established Dutt's reputation - as an excellent director, 'Pyaasa'(1957), 'Kaagaz Ke Phool'(1959) ; as an actor and producer, 'Chaudvin Ka Chand'(1960) and 'Sahib Bibi Aur Ghulam'(1962). The story of Kaagaz ke Phool has glimpses of his personal life. Almost all his films had female as central characters. Famous actresses like Meena Kumari and Waheeda Rehman have given powerful performances in his films. He was so different from his fellow directors in the sense that he made good purposeful, films though not hits at the box office. He had a tragic end at the young age of thirty nine.",,1. Hii let come to see . unfortunately as well and that you have a good day I have to do with it and it was the only one that I can get a good time for a while and then you will have a good day to day life and the rest is history of purchases and payments for a few weeks and then you will have a great weekend too many thanks and best wishes to all of you to the next.,4,
,,,,"2. Guru Dutt is one of the finest film makers the world has ever seen,experienced,felt. He was an artist par excellence.This book tells it all,right from his early struggle to the apex of his success. The book describes Guru Dutt's films,in every participation of his,may it be ,a small role,assistant director,actor or Director. The author has written this book in a very simple language and thus the language doesn't stump you and this is a hallmark of this book.",5,
,,,,,,
41,Raj Kapoor,"Raj kapoor was a famous actor, director, producer of Hindi films. Ranbir Raj (Raj kapoor) was born on December 14, 1924. He was the son of Prithviraj Kapoor, who was also a famous actor.

For more than fifteen years, he remained an evergreen hero of the Hindi films along with his contemporaries Dilip Kumar and Dev Anand. He launched his own R.K films banner. Nargis and Raj duo made a popular team and they drew huge crowds. His films are considered as valuable contributions to cinematic art. His famous films are  'Awaara' (1951),' Shri 420' (1955), 'Sangam' (1964), and 'Mera Naam Joker' (1970). Raj Kapoor was the only Indian actor-producer who carved a niche for himself across the continents.Raj Kapoor won many awards during his life time. Apart from many film fare awards, He won grand prix award (1957), Padma Bhushan(1971), and Dada Saheb Phalke Award (1987). Some of the well known films directed by him are Bobby(1973), Satyam Shivam Sundaram(1978). He died in 1988.",,"1.I am greatest fan of unique charactactor was the sign of "" The greatest showman of prize at Awaara.

Raj kapoor(1924-1988) was a great actor, producer and director of Hindi cinema. He was the winner of 3 national awards. His performance in Awaara was ranked top 10 greatest performance.

The government of India honored him with the PADMA BHUSHAN(1971) for his contributions for his art and DADASAHEB FALKE award in 1987.

Raj Kapoor married with Krishna Malhotra.

He was a very talented son of Prithviraj Kapoor. He was rumoured to have had a romantic relation with actress Nargis.

Rishi Kapoor, Ramdhir Kapoor and Rabbit Kapoor are the latest Bollywood superstar from the Kapoor  family.",4,
,,,,"2.Raj kapoor was a very simple actor, who perferomed the roles of ordinary man in extreme complex situations with a lot of ease. May it be the tramp in Awara or Shri 420 or the Joker in Mera Naam Joker…. He did the roles to perfection. He may not be known as a great actor today as he performed the roles with high degree of simplicity…. He was a natural.",4,
,,,,"3.Raj kapoor the very name bring a feel a man dedicated to deep love and romance

He really loved the heroines that brings in us nostalgic feel.

Raj and his feelings.",5,
,,,,"4.This iron man who never sought any sort of support from his father Prithviraj Kapoor in order to establish himself in the film industry ,(if he would have alive) must have been thinking of making movie away from the league having all RAJKAPOORISM in it , Giving a social message, touching our souls , reflecting common man?s life in a scrupulous manner. He never hesitated in showing exposure in his movie (E.G. RAM TERI GANGA MAILI , MERA NAAM JOKER ETC..) but would have never used that exposure for propagating his films like Mahesh Bhatt.",4,
,,,,,,
42,Satyajit Ray,"Satyajit Ray, standing 6'-4"" tall, was a towering figure in the world of cinema. He studied at the university in Calcutta and later joined Shantiniketan, Rabindranath Tagore's university to study art. He began his career as a commercial artist (1943-56). He founded Calcutta's first film society in 1947 and made his first film, Pather Panchali (1955) while working at an advertising agency. Pather Panchali was an immediate success and won Grand Prix at the Cannes Festival. Pather Panchali with his Aparajito (1956, The Unvanquished) and Apur Sansar (1959, The World of Apu) are known as 'Apu Trilogy'. His later films include Jalsaghar (1958, The Music Room), Kanchenjunga (1962), Charulata (1964, The Lonely Wife), Ashanti Sanket (1973, Distant Thunder), The Chess Players (1977), The Home and The World (1984), Ganashatru (1989, Public Enemy), and Agantuk (1990, The Stranger).

Ray also edited Sandesh, a children's magazine and wrote numerous fiction and nonfiction works. In 1992 he received an honorary Academy Award.He died in 1992 ",,1.Satyajit Ray was an Indian filmmaker and author of Bengali fiction and regarded as one of the greatest auteurs of world cinema.,4,
,,,,2. Satyajit Ray is the only Indian film maker who has received the prestigious Academy award and the highest Indian honor of Bharat Ratna for his life-time achievements and contributions to the cinema.,4,
,,,,,,
43,Shyam Benegal,"Shyam Benegal was born in Andhra Pradesh in 1934. He was initially involved in the advertising industry and produced over  900 advertisements- Lintas Advertising (1959-63) and Advertising and Sales Promotion (1963-73) . He got a chance to work as associate producer for Children's Television Workshop in New York and Boston WGBHTV. Later he turned to films following the footsteps of his uncle, the great Guru Dutt. 

Benegal's first film 'Ankur'(1973) introduced Shabana Azmi into the film field. The film won wide critical acclaim. Most of his films portray oppressions in society. His other famous films are 'Nishant'(1975), 'Manthan'(1976), 'Bhumika'(1977), 'Junoon'(1978), 'Kalyug'(1980), 'Aarohan'(1982), 'Trikaal'(1985), 'Susman'(1986), 'Yatra'(1986), 'Antarnaad' and 'Suraj Ka Satwan Ghodain'(1992).

Shyam Benegal has won several awards for his contribution to the films. He has also directed many documentary films and a television series 'Bharat Ek Khoj' based on Jawaharlal Nehru's Discovery of India. His documentary includes 'Making of the Mahatma' - a study of the early years of Gandhi in South Africa, Sruti and Graces in Indian Music etc. He has also taught at the Film and Television Institute in Pune.",,"1.Shyam Babu, as the veteran film-maker, Shyam Benegal is affectionately known among his friends and admirers, turned 81 on 14 December. I call him the most influential director since Satyajit Ray",3,
,,,,"2.Many film buffs including me regard Shyam Benegal’s Ankur as the single-most influential Indian film since Satyajit Ray’s Pather Panchali. Its depiction of feudal tyranny and sexual oppression was unique to Indian cinema, as was the naturalistic performances by Shabana Azmi, Sadhu Meher and Anant Nag",3,
,,,,3. He was direct many good movie in hindi cinema.,2,
,,,,,,
