S. No.,Category Name,URL if available,Description(Minimum 80 words),,,Reviews,Rating,Images
25,Subaru,www.subaru.com,"Subaru  Japanese  is the automobile manufacturing division of Japanese transportation conglomerate Fuji Heavy Industries (FHI), the twenty-second largest automaker by production worldwide in 2012.

Subaru cars are known for the use of a boxer engine layout in most vehicles above 1500 cc. Most Subaru models have used the Symmetrical All Wheel Drive drive-train layout since 1972. The flat/boxer engine and all-wheel-drive became standard equipment for mid-size and smaller cars in most international markets by 1996, and is now standard in most North American market Subaru vehicles. The lone exception is the BRZ, introduced in 2012, which uses the boxer engine but instead uses a rear-wheel-drive structure. Subaru also offers turbocharged versions of their passenger cars, such as the Impreza WRX and the Legacy 2.5GT. The 2.5XT trims of the Outback and Forester also include a turbocharged engine.

In Western markets, the Subaru brand has traditionally been popular among a dedicated core of buyers. Marketing is targeted towards specific niches centered on those who desire the company's signature drive train, in particular the outdoors enthusiast and affordable sports car markets.

Subaru is the Japanese name for the Pleiades star cluster M45, or ""The Seven Sisters"" (one of whom tradition says is invisible – hence only six stars in the Subaru logo), which in turn inspires the logo and alludes to the companies that merged to create FHI.","Tokyo, Japan",1-800-874-7050.,"1.Pros
Subaru is and up and growing its a great company if you are looking to get into tthe automotive industry great product.
Cons
long days no weekends. The growing market for subaru makes it tough to keep up with consumer demand there is so much growth its hard to keep up. ",5,
,,,,,,"2. Pros
Great product. Easy to believe in.
Cons
The customers were too analytical , too exacting for their own good sometimes",5,
,,,,,,"3. Pros
Tons of opportunity for advancement for the right person, Subaru employees are tremendously loyal and welcoming.
Cons
Many senior managers will be retiring in the next couple of years, and much of their expertise is not being passed on to others.",5,
,,,,,,,,
26,Lexus,www.lexus.com,"Lexus  is the luxury vehicle division of Japanese automaker Toyota. The Lexus marque is marketed in over 70 countries and territories worldwide, has become Japan's largest-selling make of premium cars, and has ranked among the ten largest Japanese global brands in market value. Lexus is headquartered in Nagoya, Japan. Operational centers are located in Brussels, Belgium, and the U.S. in Torrance, California.

Lexus originated from a corporate project to develop a new premium sedan, code-named F1, which began in 1983 and culminated in the launch of the Lexus LS in 1989. Subsequently, the division added sedan, coupé, convertible, and SUV models. Until 2005 Lexus did not exist as a brand in its home market and all vehicles marketed internationally as Lexus from 1989-2005 were released in Japan under the Toyota marque and an equivalent model name. In 2005, a hybrid version of the RX crossover debuted, and additional hybrid models later joined the division's lineup. In 2007, Lexus launched its own F marque performance division with the debut of the IS F sport sedan, followed by the LFA supercar in 2009.","Nagoya, Aichi Prefecture, Japan",1-800-255-3987,1. Negative morning meetings and pressure to hit targets from customers that are not there. Management have serious bi-polar issues which is a shame because the team outwith the management are great and the cars are fantastic.,4,
,,,,,,"2. I have best experience in automobile including theory and practical also excellent experience in repairing works engine, chessis with electrical, team leading management also best experience,",4,
,,,,,,3. Lexus of Stevens Creek is the best place to buy a new or pre owned vehicle. They have the largest selection and best values in regards to pricing. Lexus is number one in reliability.,4,
,,,,,,,,
27,Ferrari,www. ferrari.com,"Ferrari  is an Italian sports car manufacturer based in Maranello. Founded by Enzo Ferrari in 1939 as Auto Avio Costruzioni, the company built its first car in 1940. However the company's inception as an auto manufacturer is usually recognized in 1947, when the first Ferrari-badged car was completed.

Ferrari is the world's most powerful brand according to Brand Finance. In May 2012 the 1962 Ferrari 250 GTO became the most expensive car in history, selling in a private transaction for US$38.1 million to American communications magnate Craig McCaw.

Fiat S.p.A. acquired 50 percent of Ferrari in 1969 and expanded its stake to 90 percent in 1988. In October 2014 Fiat Chrysler Automobiles announced its intentions to separate Ferrari from FCA; as of the announcement FCA owned 90 percent of Ferrari. The separation began in October 2015 with a restructuring that established Ferrari N.V. (a company incorporated in the Netherlands) as the new holding company of the Ferrari group and the subsequent sale by FCA of 10 percent of the shares in an IPO and concurrent listing of common shares on the New York Stock Exchange.Through the remaining steps of the separation, FCA's interest in Ferrari's business was distributed to shareholders of FCA, with 10 percent continuing to be owned by Piero Ferrari. The spin-off was completed on 3 January 2016.","Via Alfredo Dino Ferrari, 43, 41053 Maranello MO, Italy",39 0536 949713,"1. Pros
too extreme need to work at favour Ferrari automotive industry.Not only sports cars developed but peoples life is future in it to comfort for highly recommended at me
Be Safety at Ferrari Cars.
Cons
price is too high but other is better.",5,
,,,,,,"2. Pros
Very Good and competitive salary
Cons
Very far away form the other teams",5,
,,,,,,"3. Pros
The cars are great. The sound of the cars are great.
Cons
Waking up tooo early. Also the office os too far.",4,
,,,,,,,,
28,Harley-Davidson,http://www.harley-davidson.com/,"Harley-Davidson, Inc. (H-D), or Harley, is an American motorcycle manufacturer, founded in Milwaukee, Wisconsin in 1903.

As one of two major American motorcycle manufacturers to survive the Great Depression (along with Indian), the company has survived numerous ownership arrangements, subsidiary arrangements (e.g., Aermacchi 1974-1978 and Buell 1987-2009), periods of poor economic health and product quality, as well as intense global competition — to become one of the world's largest motorcycle manufacturers and an iconic brand widely known for its loyal following — with owner clubs and events worldwide as well as a company sponsored brand-focused museum.

Noted for a style of customization that gave rise to the chopper motorcycle style, Harley-Davidson traditionally marketed heavyweight, air-cooled cruiser motorcycles with engine displacements greater than 700 cm³ — and has broadened its offerings to include its more contemporary VRSC (2002) and middle-weight Street (2015) platforms.

Harley-Davidson manufactures its motorcycles at factories in York, Pennsylvania; Milwaukee, Wisconsin; Kansas City, Missouri; Manaus, Brazil; and Bawal, India — and markets its products worldwide.

Besides motorcycles, the company licenses and markets merchandise under the Harley-Davidson brand, among them being apparel, home decor and ornaments, accessories, toys and scale figures of motorcycles, and video games based on its motorcycle line and the community.","Milwaukee, Wisconsin, United States",1800 102 6180,1. Responsible for contributing to the overall performance of the store by driving sales at every opportunity whilst at the same time making sure every customer receives exceptional levels of service and enjoys their visit to the store. Fun place to work with supportive management team with a focus on customer development and personal growth.,5,
,,,,,,2. Working in harley was real fun. Its a young brand. I have leaned many things there. They provide us with tarining every 6 months. Staff is really good.,5,
,,,,,,"3. Its a great place to work in this organisation.Learned great things like working of a automobile industry,pressure handling,team work,project handling etc.",4,
,,,,,,,,
29,Mitsubishi Motors,        www.mitsubishi-motors.com,"Mitsubishi Motors Corporation is a multinational automotive manufacturer headquartered in Minato, Tokyo, Japan. In 2011, Mitsubishi Motors was the sixth biggest Japanese automaker and the sixteenth biggest worldwide by production. From October 2016 onwards, Mitsubishi is one-third (34%) owned by Nissan, and thus a part of the Renault-Nissan Alliance.

Besides being part of the Renault-Nissan Alliance, it is also a part of Mitsubishi keiretsu, formerly the biggest industrial group in Japan, through the corporation's minority 20% stake in Mitsubishi Motors, and the company was originally formed in 1970 from the automotive division of Mitsubishi Heavy Industries.

Mitsubishi Fuso Truck and Bus Corporation was formerly a part of Mitsubishi Motors, but is now separate from Mitsubishi Motors, which builds commercial grade trucks, buses and heavy construction equipment, and is owned by Daimler AG (though Mitsubishi continues to own a small stake).","33-8 Shiba 5-chome, Minato-ku, Tokyo 108-8410",03-3456-1111,1. Was a great job with great benefits. The people where all nice and helpful. The management was all very helpful when presented with an issue. Was a let down when the plant was closed.,3,
,,,,,,2. Worked with different people ever day. I rotate through all the jobs on my line (21 jobs). Some jobs were harder to do than others. Didn't like the ten hours days. The money was nice but didn't have a life out side the plant.,4,
,,,,,,"3. Pros
Clean place to work
Cons
It is no longer open",4,
,,,,,,,,
30,Dongfeng Motor,        www.dfmc.com.cn,"Dongfeng Motor Corporation is a Chinese state-owned automobile manufacturer headquartered in Wuhan, China. Traditionally one of the ""Big Three"" Chinese automakers,Dongfeng is currently in the top four along with Chang'an Motors, FAW Group, and SAIC Motor.

In addition to commercial and consumer vehicles, it also manufactures parts and cooperates with foreign companies. Counting six global automakers as partners, it has more Sino-foreign joint ventures than any other Chinese carmaker. These partnerships allow it to produce and sell a variety of foreign-branded products in China including those of Citroën, Honda, Kia, Nissan, Peugeot, and Renault. Other brand names associated with Dongfeng include Fengshen, Infiniti, Luxgen, and Venucia. Heavy-duty commercial vehicles and buses are sold under the eponymous Dongfeng brand.

The company was the second-largest Chinese vehicle maker in 2014 by production volume manufacturing over 3.5 million whole vehicles that year. Commercial vehicle production was higher than all other domestic manufacturers at nearly 450,000.

Dongfeng has two listed subsidiaries—Dongfeng Motor Group Co  and Dongfeng Automobile Co Ltd ","NO.2,Chuangye 2nd Road,Wuhan Economic&Technology Development Zone,Hubei,China",0086-27-84301153,"1.         
Pros
Work-life Balance is very good
Cons
Not many cons, generally a great company",5,
,,,,,,"2. Pros
It is a good place to learn and improve,
Cons
The environment is not good.",3,
,,,,,,"3. Pros
Relatively laid-back, typical Chinese state-owned factory.
Cons
The production line was mainly outdated.",5,
,,,,,,,,
31,Volvo,www.volvogroup.com,"The Volvo Group (Swedish: Volvokoncernen; legally Aktiebolaget Volvo, shortened to AB Volvo) (stylised as VOLVO) is a Swedish multinational manufacturing company headquartered in Gothenburg. While its core activity is the production, distribution and sale of trucks, buses and construction equipment, Volvo also supplies marine and industrial drive systems and financial services. Although the two firms are still often conflated, Volvo Cars, also based in Gothenburg, has been a totally separate company since it was sold to the Ford Motor Company in 1999. The companies still share the Volvo logo and co-operate in running the Volvo Museum.

Volvo was established in 1915 as a subsidiary of SKF, the ball bearing manufacturer; however the Volvo Group and Volvo Cars consider themselves to have been officially founded on 14 April 1927, when the first car, the Volvo ÖV 4 series, affectionately known as ""Jakob"", rolled out of the factory in Hisingen, Gothenburg.
Volvo means ""I roll"" in Latin, conjugated from ""volvere"", in reference to ball bearings. The brand name Volvo was originally registered as a trademark in May 1911 with the intention to be used for a new series of SKF ball bearings. This idea was only used for a short period and SKF decided to simply use ""SKF"" as the trademark for all its bearing products.

In 1924, Assar Gabrielsson, an SKF sales manager, and engineer Gustav Larson, the two founders, decided to start construction of a Swedish car. Their vision was to build cars that could withstand the rigors of the country's rough roads and cold temperatures.[3]","Karossvägen 2, 405 31 Göteborg, Sweden",46 31 59 28 65,"1. I got to learn alot in these 2 months, learned to work by going out meeting business clients, increased level of confidence by talking to them, team work experience.",5,
,,,,,,2. Amazing place to work. Overall good culture and work life balance. Provide ample opportunities to learn and grow. Helping management & colleagues.,5,
,,,,,,"3.  very good work culture, supportive team.
Typical day was meetings , validation on test rig, debugging issues.
friendly atmosphere.Very good for independent learning.
excellent team with very good work life balance.
",5,
,,,,,,,,
32,Isuzu,www.        volvogroup.com,"Isuzu Motors Ltd. trading as Isuzu (Japanese pronunciation: , is a Japanese commercial vehicles and diesel engine manufacturing company headquartered in Tokyo. Its principal activity is the production, marketing and sale of Isuzu commercial vehicles and diesel engines.

It also has a number of subsidiaries, included Anadolu Isuzu (a Turkish joint venture with Anadolu Group), Sollers-Isuzu (a Russian joint venture with Sollers JSC), SML Isuzu (formerly Swaraj Mazda), Jianxi Isuzu Motors (a Chinese joint venture with Jiangling Motors Company Group), Isuzu Astra Motor Indonesia, Isuzu Malaysia (Isuzu HICOM), Isuzu UK, Isuzu South Africa, Isuzu Philippines, Taiwan Isuzu Motors, Isuzu Vietnam and Isuzu Motors India. The company was established in 1916. In 1934 the company fused with the carmaker and was renamed Isuzu, after the Isuzu River.

Isuzu has assembly and manufacturing plants in Fujisawa, as well as in the Tochigi and Hokkaidō prefectures. Isuzu-branded vehicles are sold in most commercial markets worldwide. Isuzu's primary market focus is on commercial diesel-powered truck, buses and construction, while their Japanese competitor Yanmar focuses on commercial-level powerplants and generators.

By 2009, Isuzu had produced over 21 million diesel engines, which can be found in vehicles all over the world.[2] Isuzu diesel engines are used by dozens of manufacturers, to include Ford Motor Company and Renault-Nissan Alliance.","6-26-1 Minami-oi, Shinagawa-ku, Tokyo, Japan",3-5471-1141,"1.  Pros
A Company in transition phase, very good company for a learner, overall salary structure is also good. This company is for Doers rather thinkers. For people who loves 9:30 to 6 Jobs.
Cons
Have to work in all domains, Relatively small automotive company, Absence of Middle Management. Due to higher attrition rate, There is thick line between Strategic Management and Operative Management.",4,
,,,,,,"2. Pros
To learn and execute my best ideas.
Cons
Lack of adaptability for innovative ideas",2,
,,,,,,"3. Pros
A good company for a learner with good salary structure as compared to other local company here.
Cons
There is thick line between Strategic Management and Operative Management.",3,
,,,,,,,,
33,Hino,www.hino.com,"Hino Motors, Ltd. commonly known as simply Hino, is a Japanese manufacturer of commercial vehicles and diesel engines (including for trucks, buses and other vehicles) headquartered in Hino-shi, Tokyo. The company is a leading producer of medium and heavy-duty diesel trucks in Asia.

Hino Motors is a constituent of the Nikkei 225 on the Tokyo Stock Exchange. It is a subsidiary of Toyota Motor Corporation and one of 16 major companies of the Toyota Group.","Hino-shi, Tokyo, Japan",(42) 586 5777,1. Initiate and proactively drive full-price sales of HONOR product at sell-in and point-of-sale. Increase brand footprint in wholesale accounts. Analyze business and maximize opportunities for growth.,5,
,,,,,,2. A Company no longer exist. Working there is fun and exciting at times.,3,
,,,,,,"3. Help customer service daily, cash , inventory, new customers",4,
,,,,,,,,
34,Daihatsu,www.daihatsu.com,"Daihatsu was formed in 1951 as a successor to Hatsudoki Seizo Co. Ltd, founded in 1907, as part of Hatsudoki's major restructure. Hatsudoki's formation was largely influenced by the Engineering Department's faculty of Osaka University, to develop a gasoline-powered engine for small, stationary power plants.

During the 1960s, Daihatsu began exporting its range to Europe, where it did not have major sales success until well into the 1980s. In Japan, many of Daihatsu's models are also known as kei jidōsha (or kei cars).

Daihatsu Diesel Motor Manufacturing Company was formed in 1966 as an affiliate company to produce marine engines and diesel generators.

In January 2011, Daihatsu announced that it would pull out of Europe by 2013, citing the persistently strong yen, which makes it difficult for the company to make a profit from its export business. Following the financial crisis Daihatsu's sales in Europe plummeted, from 58,000 in 2007 to 12,000 in 2011. In August 2016, Daihatsu became a wholly owned subsidiary of Toyota Motor Corporation.","1-1, Daihatsu-cho, Ikeda-city, Osaka 563-8651 JAPAN ",(072)751-8811,"1. Pros
I personally like cars and the company has a strong presence in Japan and Asia. Daihatsu is number one in Light vehicle market in Japan, and top company in several countries in SE Asia.
Cons
Daihatsu is a very Japanese traditional company. It is the oldest car maker in Japan, and some of the policies and the way it does business can be very old.",4,
,,,,,,"2. Pros
So so salary
too much overtime
Cons
Primitive Management
Too much local japanese thinking",1,
,,,,,,,,
35,Ghani Automobile Industries,www.ghaniautomobiles.com/,"Nothing in this earth or in the heavens Is hidden from ALLAH To indulge in honesty, integrity and self determination, to encourage in performance and most of all to put our trust in ALLAH, so that we may, eventually through our efforts and belief, become the leader amongst automobile products manufactures .

Mission
To be successful by effectively & efficiently Utilizing our Philosophies, so that We achieve & Maintain constantly the High Standards of Product Quality & Customer Satisfaction.

Status of Company
Ghani Automobiles is a company of Ghani Group, and is listed on Stock Exchanges. Established in 2004, the company started its commercial production of the two wheelers during 2005. The head office is in Model Town, Lahore, Pakistan while the plant is situated at a very strategic location at 49Kms Multan Road, Lahore covering an area of approx. 218,000 Sq. Feet (5 acres). Ghani Automobiles Industries Limited was established with the objective to cater to the transport needs of the common man of our country, keeping the cost to the minimum yet providing the high quality, innovative and reliable products up to the entire satisfaction of the customer. The manufacturing facility of the company is built up with the most advanced and state of the art equipments and is presently engaged in the manufacturing of 70 cc & 100cc motorcycle,following all International and National standard engineering practices, procedures and quality controls.","Ghani Automobiles Industries Limited. 274B,N Block Model Town Etx Lahore, Pakistan",35168873,"1.  Good place to work, if no other better jobs are available. Tight schedules and short deadlines will be given.",3,
,,,,,,2. 3. Only good thing it was a flexible job. Well don't tell you what you are doing wrong just terminate you without a even notice.,3,
,,,,,,,,
36,Opel,www.opel.com,"Adam Opel  is a German automobile manufacturer headquartered in Russelsheim, Hesse, Germany, subsidiary of the American group General Motors. The company designs, engineers, manufactures and distributes Opel-branded passenger vehicles, light commercial vehicles and vehicle parts for distribution in Africa, Asia, Europe and South America. Opel designed and manufactured vehicles are also sold under the Buick brand in the United States, Canada, Mexico, and China, the Holden brand in Australia and New Zealand, and the Vauxhall brand in Great Britain.

Opel traces its roots to a sewing machine manufacturer founded by Adam Opel in 1862. The company began manufacturing bicycles in 1886 and produced its first automobile in 1899.

Opel became a share-limited company in 1929; General Motors took a majority stake in Opel that same year. General Motors assumed full control in 1931 and today Adam Opel AG is a wholly owned subsidiary of General Motors Company. Although Adam Opel AG continues to be a share-limited company, shares of the company are not publicly listed. Adam Opel AG is the parent company of General Motors UK Limited, better known as Vauxhall, and various other General Motors subsidiaries.","Friedrich-Lutzmann-Ring 1, 65428 Rüsselsheim am Main, Germany",49 6142 9119800,"1. Pros
OPEL Systems is dedicated to provide a range of IT consulting and process outsourcing solutions
Cons
Belief in people
Pursuit of excellence
Entrepreneurship
Customer orientation",4,
,,,,,,"2. Pros
Honest / no hidden things
Transparency in billing, so no mismatch in charged and paid amounts
Very responsive. Usually receive reply on same day
Salary is processed and paid in first week of the month
Cons
Nothing that I have seen",5,
,,,,,,"3. ""2. """"2. Pros
Global exposure learning
Cons
Work load work life balance""""""",4,
,,,,,,,,
37,Kenworth,        www.kenworth.com,"Kenworth began its history in Portland, Oregon. In 1912, the company was founded by brothers George T. and Louis Gerlinger, Jr. as a car and truck dealership known as Gerlinger Motor Car Works. In 1914, they decided to build their own truck with a more powerful inline six-cylinder engine. This was the first ever put into a commercial truck. The Gersix, as it was known, unveiled in 1915, was framed in structural steel, which along with its power, made the truck ideal for the rugged Northwest, where it was used for logging. In 1916 the Gerlinger Motor Car Company moved to Tacoma, Washington. Seattle businessman Edgar K. Worthington was managing his mother's commercial building, where Gerlinger became a tenant, and became intrigued by the Gerlinger company. Worthington's tenant was doing quite well, or so it seemed, and the Gersix became a popular fixture in the Northwest. In 1917 Worthington and his business partner Captain Frederick Kent bought the Gerlinger business, renaming it the Gersix Motor Co. Kenworth is an American manufacturer of medium and heavy-duty Class 8 trucks with its corporate office and engineering headquarters in Kirkland, Washington, United States, a suburb of Seattle, Washington. It is a subsidiary of Paccar, and is also a former manufacturer of transit buses and school buses.","10630 NE 38th Pl, Kirkland, WA 98033, USA",1 425-828-5000,"1. Great team to work for as well as a great company for benefits. Managers were great to work for and was a great work place.
Training was great in preparing you for the work day. Great work schedule and was very active in trying to advance further education.",3,
,,,,,,"2. Management was good and I liked my hours. I didn't like the job culture because it was not a job for people just getting into the industry, there was no time to learn anything and junior people were kept on menial tasks. I left because I saw no opportunity for learning or advancement. ",3,
,,,,,,3. Worked over 80 hours a week on salary in truck leasing and on call 24/7/365 with impossible bonus incentives to make. Zero support from higher management. VP of truck leasing is the worst I've ever seen or worked with in over 20 years,1,
,,,,,,,,
38,Jeep,        www.jeep.com/,"Jeep is a brand of American automobiles that is a division of FCA US LLC (formerly Chrysler Group, LLC), a wholly owned subsidiary of Fiat Chrysler Automobiles.The former Chrysler Corporation acquired the Jeep brand, along with the remaining assets of its owner American Motors, in 1987. The division is headquartered in Toledo, Ohio. Jeep's current product range consists solely of sport utility vehicles and off-road vehicles, but has also included pickup trucks in the past.

The original Jeep was the prototype Bantam BRC. Willys MB Jeeps went into production in 1941 specifically for the military, arguably making them the oldest four-wheel drive mass-production vehicles now known as SUVs.The Jeep became the primary light 4-wheel-drive vehicle of the United States Army and the Allies during World War II, as well as the postwar period. The term became common worldwide in the wake of the war. Doug Stewart notes:

The spartan, cramped, and unstintingly functional jeep became the ubiquitous World War II four-wheeled personification of Yankee ingenuity and cocky, can-do determination.

The first civilian models were produced in 1945. It inspired a number of other light utility vehicles, such as the Land Rover.[7][8] Many Jeep variants serving similar military and civilian roles have since been designed in other nations.","6019 W Central Ave, Toledo, OH 43615, USA",1 419-318-5657,"1.  Good place to work, if no other better jobs are available. Tight schedules and short deadlines will be given.",3,
,,,,,,2. Its a good workplace but growth opportunity and salary is very low compared to other companies,3,
,,,,,,,,
39,Scania,www.scania.com,"Scania,  is the southernmost province (landskap) of Sweden which consists of a peninsula on the southern tip of the Scandinavian Peninsula and some islands close to it. Scania is roughly equivalent to the modern Skåne County (Skåne län). The responsibility for overseeing implementation of state policy in the county is administered by the County Administrative Board. Within Scania there are 33 municipalities that are independent and separate from the Scania Regional Council which has its seat in Kristianstad. The largest city is Malmö, which is also the third largest city in Sweden.

To the north, Scania borders the provinces of Halland and Småland, to the northeast Blekinge, to the east and south the Baltic Sea and Bornholm island, and to the west Øresund. Since 2000 a road and railway bridge, the Øresund Bridge,[4] bridges the sound to the Danish island of Zealand. The HH Ferry route across the northern part of Øresund also remains as an important link between the Scandinavian Peninsula and Zealand. Scania is part of the transnational Øresund Region.

Scania was part of the kingdom of Denmark up until the Treaty of Roskilde in 1658. The transition to Sweden was later confirmed by the 1660 Treaty of Copenhagen, the 1679 Peace of Lund and the 1700 Peace of Travendal. The last serious Danish attempt to invade the province failed in 1710, after the Battle of Helsingborg.[7] The period 1658–1720 saw widespread violence by the Swedish militaries against the local population. The same was also true about the Danish military, though to a far lesser extent. The region did not form part of Sweden proper until 1720, but had the status of conquered ""foreign land"" until that year. It was then divided in two counties and has since then been regarded as fully integrated in Sweden. Until the early 19th century, a policy of forced assimilation was employed by the Swedish government in what until then had been a linguistically Danish region. Controversy relating to whether the Scanian dialects should be classified as a regional language or as Danish or Swedish dialects remains to this day.","Vagnmakarvägen 1, 151 32 Södertälje, Sweden",46 8 553 810 00,"1. Pros
Good to learn & Good value in the company
Cons
Management decisions need to be improved",3,
,,,,,,"2. Pros
Product is new for India.Truck is good product buses good bit are long way to meet their reputation standards. Things can stabilise by 2020
Cons
Quality of colleagues is not good. Policies and practices are not to be well laid out. Not employee friendly.",1,
,,,,,,"3. Pros
Company with great history and experience in truck business.
Very professional and helpful staff.
Cons
Salary is not the strong side.",5,
,,,,,,,,
40,Al Ghazi Tractors,www.alghazitractors.com,"The Al-Ghazi Tractors Limited (AGTL), was incorporated in 1983, its plant located in Dera Ghazi Khan, Punjab, Pakistan. Al-Ghazi Tractors's plant manufacture New Holland tractors and generators in collaboration with Fiat New Holland. In 1991, Al-Futtaim Group of Dubai took over the management control of Al-Ghazi Tractors by acquiring 50% of its shares. Its corporate Head Office is in Karachi, Pakistan.",Abbasi Shaheed Road Karachi 74400,92 21 35660881-5,"1.I want to change my current job.
Month closing is typical in every month.
Learn how to handle the high pressure.
Hard working management
Co workers also very cooperative
Responsibility of double work load after my colleague resigned.
When i was working at my home town that time was most enjoyable.",3,
,,,,,,2. Very poor in work culture and lake of technical support and information. Management do not supports to employee benefits and they are only focused on the output.,2,
,,,,,,"3. This is a company where an employee can enhance his skills.
Challenges given by the company head & the support from the colleagues are the most important & enjoyable part of this job.",3,
,,,,,,,,
41,Great Wall Motors,        www.gwm-global.com,"Great Wall Motors Company Limited is a Chinese automobile manufacturer formed in 1984. The company is named after the Great Wall of China. It is China's largest sport utility vehicle (SUV) producer.

In the 2012 market beset by lower demand and curbs on road-going city cars, Great Wall performed well. It rose by three places to rank as the seventh largest Chinese automaker and produced just over 675,000 units. The export of cars for 2012 stood at 96,500 units.

Great Wall sells passenger cars, trucks and SUVs under the Great Wall brand and premium SUVs under the Haval brand.","2266 Chaoyang S St, Nanshi Qu, Baoding Shi, Hebei Sheng, China, 071000",86 312 219 7855,"1. Pros
It's now a developing company and with it's fast growing , the employee will also gain the international view.
Cons
now it's branding need to improve",4,
,,,,,,"2. Pros
the food in the canteen is only 2rmb.
great opportunity for people who are also great at deceiving others.
Cons
your work contract has no meaning at all. they expect they can treat everybody like their chinese working slaves.
the work contract is not even according to chinese labour law.",4,
,,,,,,"3. Pros
Unique opportunity to take part in the brand building process of a new for Europe automobile brand - Great Wall. Really friendly team. Great offices and office location.
Cons
Very low level of job security due to unstable financial standing of the company. Delays in salary payments and payments to external stakeholders are usual. Very high level of people turnover.",3,
,,,,,,,,
42,Dodge,"www.        
dodge.com","Founded as the Dodge Brothers Company machine shop by brothers Horace Elgin Dodge and John Francis Dodge in late 1900,Dodge was originally a supplier of parts and assemblies for Detroit-based automakers and began building complete automobiles under the ""Dodge Brothers"" brand in 1914, predating the founding of Chrysler Corporation. The factory was located in Hamtramck, Michigan and was called the Dodge Main factory from 1910 until 1979. The Dodge brothers both died of complications due to influenza in 1920 and the company was sold to Dillon, Read & Co. in 1925 before being sold to Chrysler in 1928. Dodge vehicles mainly consisted of trucks and full-sized passenger cars through the 1970s, though it did make some inroads into the compact car market during this time.

The 1973 oil crisis and its subsequent impact on the American automobile industry led Chrysler to develop the K platform of compact to midsize cars for the 1981 model year. The K platform and its derivatives are credited with reviving Chrysler's business in the 1980s; one such derivative became the Dodge Caravan.

The Dodge brand has withstood the multiple ownership changes at Chrysler from 1998 to 2009, including its short-lived merger with Daimler-Benz AG from 1998 to 2007, its subsequent sale to Cerberus Capital Management, its 2009 bailout by the United States government, and its subsequent Chapter 11 bankruptcy and acquisition by Fiat.

In 2011, Dodge, Ram, and Dodge's Viper were separated. Dodge said that the Dodge Viper will now be an SRT product and Ram will be a manufacturer. In 2014, SRT was merged back into Dodge. Later that year, Chrysler Group was renamed FCA US LLC, corresponding with the merger of Fiat S.p.A. and Chrysler Group into the single corporate structure of Fiat Chrysler Automobiles.","3800 S Lapeer Rd, Lake Orion, MI 48359, USA",1 248-393-2222,"1. What a horrible place to have to go to everyday. The owner is a lunatic, constantly on the premisis and screaming and yelling at salesmen and managers like they are a piece of dirt. The have a constant turn over of managers and salesman. The office girls are miserable. There's one in there that is always pleasant tho. The others when you go back to get a tag or ask a question are rude and act like you have no business there. The GM is two faced. Money, money that's all you are to them, make me money.",2,
,,,,,,2. Company goes through managers like nothing I have ever seen. Stuck in the old school ways of doing things. Work more hours than any other dealerships you work in. General Manager will smile to your face and talk about you behind your back. Benefits are outrageously priced and coverage is not that good. No offices or desks for any of the sales force. Not a lot of advertising so be ready to cold call previous customers everyday for business. Just not an overall good place to work.,1,
,,,,,,3. Only good thing it was a flexible job. Well don't tell you what you are doing wrong just terminate you without a even notice.,3,
,,,,,,,,
43,Acura,www.Acura.com,"Acura  is the luxury vehicle marque of Japanese automaker Honda.The brand was launched in the United States and Canada in March 1986, marketing luxury, performance, and high-performance vehicles. It was introduced to Hong Kong in 1991, Mexico in 2004, China in 2006, Russia in 2014 and Kuwait in 2015. Honda's plan to introduce Acura to the Japanese domestic market (JDM) in 2008 was delayed, due to economic reasons, and later withheld as a result of the 2008 financial crisis.

Acura holds the distinction of being the first Japanese automotive luxury brand. The creation of Acura coincided with the introduction of a JDM Honda dealership sales channel, called Honda Clio, which sold luxury vehicles, joining previously established Honda Verno, followed by Honda Primo the following year. In its first few years of existence, Acura was among the best-selling luxury marques in the US. Though sales were down in the mid-to-late 1990s, the brand experienced a revival in the early 2000s, due to drastic redesigns and the introductions of new models.

Since its inception, Acura has been a trailblazer in the automotive industry. In the late 1980s, the success of the company's first flagship vehicle, the Legend, inspired fellow Japanese automakers Toyota and Nissan to launch their own luxury brands, Lexus and Infiniti, respectively. The 1990 launch of the NSX, a mid-engine exotic sports car, offered a reliable and practical alternative to exotic European sports cars, and introduced Honda's VTEC variable valve timing system to the North American market. The 1993 Legend coupé featured Honda's first use of a six-speed manual transmission, mated to a Type II engine. In the late 1990s, Acura produced a Type R version of its compact Integra coupé, which featured a reduced curb weight, a stiffer and lower suspension, and a high-output VTEC engine.

In the early 2000s, Acura introduced new models, including the company's first all-original SUV, the MDX, and two models which replaced the Integra coupé and sedan, the RSX and TSX, respectively. Type-S versions of the RSX, CL, and TL were added to the brand's lineup during that decade. Acura's 2005 RL flagship introduced SH-AWD, a torque-vectoring all-wheel drive system. The 2007 RDX, a crossover SUV, featured the first North American use of a turbocharged Honda engine. In the 2010s, Acura debuted more new models, including the ILX, TLX, and RLX, the latter of which introduced Acura's Jewel Eye LED headlights. A second generation NSX was launched in 2015 and features a twin-turbocharged mid-engine, a nine-speed dual-clutch transmission, and Sport Hybrid SH-AWD.","Minato, Tokyo, Japan",81-(0)3-3423-1111,1. If you enjoy sales this is good place to work. the pay plan is a bit different but it basically ensures a commission as long as you sell the minimum amount.,4,
