S. No.,Category Name,,Description(Minimum 80 words),location,CONTACT,Reviews,Rating,Images
20,"Government Medical College & Super facility Hospital, Azamgarh",gmcazamgarh.com,"The Government Medical College is one of the reputed and leading hospitals established by the State Govt of Uttar Pradesh. It is situated in Chakrapanpur Azamgarh ( U.P.) in the year 2008 with only Out Patient Department and it catered to the needs of the localities developing around Azamgarh township. Later in the year 2008, Indoor Services were started in the specialized fields of General Surgery, Medicine, Ophthalmology, Orthopedics, ENT, Gynaecology and Obstetrics, Pathology, Radiology, Dermatology and Dentistry. Initially the hospital had strength of only ten beds. However in the year 2008, this strength was increased to 140 in order to fulfill the demands of the ever-increasing number of patients.
 
The Government Medical College has since witnessed a sure and steady growth catering to the continuous medical needs of the public. In the year 2008, one of the best Physiotherapy Units of the State was established in the hospital with all modern equipments and having a pleasant music filled air-conditioned atmosphere, which is one of the unique features available only in this Hospital.","Chakrapanpur, Azamgarh, Uttar Pradesh 276127",089318 41790,"1.Hello guys everyone, Today I am here to Reveiw a goverment medical college and Super Facility Hospital Azamgarh is one of best medical college place in chakrapanpus of Azamgarh district, Uttar pradesh, India It is a Amazing College the chakrapanper is about 20km from azamgarh city it is nice beautiful and nice place The medical of MBBS and paramedical courses are taught here by highly qualified and trained faculty it is availiable all place in alumni networy in the college The program in work high speed the program is good by excellent work in this college. The college of 100 acres area has super facility hospital having 500 beds and fully equipped blood bank. The college annual function of rhythm is one of popular event of the city so it is nice goverment medical college in azamgarh",1,
,,,,,,"2.Hello guys everyone, Today I am here to review a government medical college and super facility hospital azamgarh is one of best medical college place in  Chakrapanpur of Azamgarh district, Uttar Pradesh, India. It is a amazing college. The chakrapanpur is about 20 km from azamgarh city. It is nice beautiful and nice place.The medical  of MBBS and paramedical courses are taught here by highly qualified and trained faculty. It is aviable all place in alumni networy . In the college program in work high speed. The program is good by excellent work in this college. The college of 100 acres area has super facility hospital having 500 beds and fully equipped blood bank. The college annual function of rhythm is one of popular event of the city.So, it is nice government medical college in azamgarh.",2,
,,,,,,"3. Government medical college and super facility hospital azamgarh is one of best medical college present in uttar pradesh affiliated under king george medical university lucknow. College is located 20 km from main city in chakrapanpur area of azamgarh. hospital was established in 2008. Many medical( MBBS) and paramedical courses are taught here by highly qualified and trained faculty. college of 100 acres area has super facility hospital having 500 beds and fully equipped blood bank.

college annual function/fest 'RHYTHM' is one of popular event of the city.

Admission in medical courses is done through NEET/PMT.",5,
,,,,,,"4.This is some highly dysfunctional college because if I speak to college students here are very bad here and the students are new students ragging is against the law.When I talk of the college in the college so good-looking, but the inside is absolutely useless so the reason that this is not at all a college education is just a splash of education here in real life, no one purpose of education is not the only.All of the teachers are very knowledgeable but do not teach their medical students anything and they do not teach some relevant topics.When I talk about the atmosphere so the atmosphere here is very polluted, and there is no such thing as peace and happiness.The college students have come to feel as worsening but also a great many students because you know a place that people are present both good and bad.Any teacher in the college does not do anyone any teacher does not matter that's why I suggesting you don't think about to go this medical college.We often say that the environment is everything.",1,
21,"Government Medical College, Kannauj",gmckannauj.org,"Government Medical College is situated in Tirwaganj Kannauj. The city of Kannauj is known The city's name is a modern form of the classical name Kanyakubja (The city of the hunchbacked maidens). It was also known as Mahodaya during the time of Mihira Bhoja . Kannauj is an ancient city, in earlier times the capital of the Empire of Harsha under Emperor Harsha. It is said that Kanyakubja Brahmin's are originally from Kannauj. There are many temples in Kannauj which are very important by both Historical as well as spiritual purposes. It is very much famous for perfume also. That is the reason why it is mentioned as the city of perfumes This Medical college has a sprawling campus with hospital and college sections accommodated in huge buildings. The main college building looks like a huge palace and is the biggest amongst all medical colleges in U.P","Tirwa Road, Tirwa, Uttar Pradesh 209732",05694 213 427,,,
,,,,,,,,
22,"GSVM Medial College, Kanpur",http://heritageims.com/,"1) Our mission is to improve the quality of life through continuous health education and delivery of healthcare by committed medical professionals aided by the latest state of the art technology and bringing affordability of quality care by maintaining excellence in positive clinical outcomes and patient oriented research for the benefit of the Humanity.”
Lecture Theaters: Four fully air conditioned lecture theaters , gallery type with 180/200 seating capacity complete with audiovisual aids and facility for E-conferencing.

 

2)      Demo Rooms: All the preclinical and paraclinical departments have been provided with two demo rooms each with 80-90 seating capacity and audiovisual aids.

 

 

3)      Common Rooms: Separate well furnished common rooms for boys and girls with attached toilets having 100 seating capacity each have been provided in the college block.

 

4)      Labs:  Well furnished and well equipped Lab  with a seating capacity of 90 each  with attached ante rooms have been provided for conducting practical classes as per MCI norms.","Mohansarai - Ramnagar Bypass Road, Varanasi, Uttar Pradesh 221011",077060 77060,"1. i am an orthopaedic surgeon . i want a healthy environment to work.
fun work place with supportive management.
not all about the numbers but how you personally grow and develop.",4,
,,,,,,"2. My Job was 9 AM- 5PM , I used to take lectures in Embryology,Gross Anatomy, Neuro Anatomy, Histology. Lab demonstration in Histology lab, Osteology, my co workers were very cooperative. I was also designated as Head of the Department for one month after that an another senior faculty teacher of Professor rank joined and she became HOD.",3,
,,,,,,3. I enjoyed my job very well.,2,
,,,,,,,,
23,Vardhman Mahavir Medical College (VMMC),www.vmmc-sjh.nic.in/,"The college has got a huge campus which includes academic buildings, Safdarjang hospital, state-of-the-art ‘Sports injury centre’ and hostels. The infrastructure of the college is good with facilities like AC lecture halls, projectors, well equipped labs, libraries and what not. The library is something worth a mention. It’s a separate 2 storeyed building, where you can get all the possible books which you may need during the course. The reading room, which is on the ground floor, is big enough to accommodate around 150 students. Of course the reading room for PG is separate. They have computerized book issuing system, which is very convenient for the students as well as the staff. For clinical postings you have to go to the Safdarjang hospital, during these sessions you are exposed to the real life cases. The only thing lacking is sports facility. There’s a lot of unutilized land between college and the library, and students have been requesting to convert it into a playground, but there’s no response from the management.
Vardhman Mahavir Medical College (VMMC) provides hostel for both boys and the girls. The hostel is a 7 storeyed building with all the basic amenities. But due to shortage of rooms in the hostel, they’ve recently started a new hostel, which is a modern building with excellent infrastructure. However the students sometimes complain of not having Wi-Fi or any sorts of internet connectivity. The charges for hostel are Rs 6,000 a year. Of course this does not include mess charges. The mess food is not exactly delicious, but it is hygienic and you can eat it 4-5 days a week. In your fresher’s year you’ll get a two sitter room. In the later years you can get a single room if you wish to.
Overall the infrastructure is very good considering it’s a government institution. But there are some maintenance issues and students don’t know whom to complain.","Near AIIMS Hospital, Ansari Nagar, New Delhi, Delhi 110029",011 2616 5060,"1. One of the best institutions in India.
Great doctors.
Crowded but that's because of population.
Best burns department in Delhi NCR",4,
,,,,,,2. For MBBS and MD/MS students this college is best because of availability of  clinical material and opportunities to develop skills.,4,
,,,,,,"3. Cool college, cool environment...
Close 2 heart :D
An absolute treat to study in such a prestigious institution. 
Dream come true",5,
,,,,,,,,
24,Saraswati Institute of Medical Sciences (SIMS),sims.edu.in,"Saraswathi Institute of Medical Sciences (SIMS) is a renowned and recognized institute in the field of medical education and research affliated to Chaudhary Charan Singh (C.C.S.) University, Meerut. Initially Medical Council of India/Government of India gave its approval to commence MBBS course with 100 students in year 2008, our 100 seats got recognized in the year 2013 .In the present session i.e.16-17 we have got approval for 50 additional M.B.B.S seats As of date, 500 students are pursuing MBBS course in addition to 120 interns in the campus. SIMS has also obtained permission for starting PG Courses since 2013-14 and is getting additional PG courses every year. At present there are 29 sanctioned PG seats in Preclinical,Paraclinical & Clinical departments .Right from the beginning of the college , students of SIMS are securing top ranks in the University examinations. SIMS has been awarded ‘Best Medical College in Delhi-NCR’ by brands academy in March 2012.SIMS is also participating in National Health Programmes such as National Blindness Control, Blood Safety, AIDS Control, Mental Health Programme, DOTS programme, besides conducting Health and Blood Donation Camps and contributing to community health effectively.

 We are also planning to establish modern super specialty hospital having Neurology, Neurosurgery, Urology, Nephrology, Endocrinology etc. Further we also plan to introduce various  Para medical Courses  in upcoming years. Our nursing college has already started with ANM and GNM courses. Our aim is to make SIMS a multi disciplinary research oriented University par excellence in the name of Saraswathi University.","Hapur Rd, Anwarpur, Uttar Pradesh 245304",0122 232 1151,"1. this medical college serves poor pts of nearby villages. very nice infrastructure and faculty.Departments like Psychiatry,  Radiology,Dermatology etc r wonderful.needs to strenghen emergency services and surgery branches.",4,
,,,,,,2. nice one.good teachers and doctors.dept. of psychiatry and dermatology is outstanding.,3,
,,,,,,,,
25,"Shri Guru Ram Rai Institute of Medical & Health Sciences, Dehradun",http://www.sgrrmc.com,"Shri Guru Ram Rai Institute of Medical & Health Sciences, Dehradun was propelled to success by the present Sajjada Nashin Sri Mahant Devendra Das Ji, the successor of the highest seat of Udaseen Sect. He dedicated this institution to the name of Sri Guru Ram Rai ji Maharaj, the eldest son of the seventh Guru of the Sikhs- Sri Har Raiji. Shri Guru Ram Rai Ji established his DERA in Doon valley which later became popular as DEHRA and thus Dehradun owes its name and history to the emergence of Sri Guru Ram Raiji's ""Dera"" in 1676 in area now called Dehradun.

SGRRIM&HS is stretched over a gigantic 30 acres of land. The institute have 150 seats in MBBS and 39 seats in Postgraguate(MD/MS). A team of dedicated and learned faculty makes this institution a centre of excellence for medical education. Lecture theatres, laboratories, museums and dissection hall are all fitted with the utmost modern equipments to facilitate learning in students, so as to enable these apprentice doctors to deal efficiently with delicate human machinery in future. All departments comprise of computer facilities including a campus wide LAN internet system. Students have been provided with very comfortable hostel and mess facilities. They are always encouraged to avail facilities of the central library, sports and to participate in extracurricular activities of the college. Students along with faculties are also, taken to visit remote villages to impart community health services, regularly. Spacious and well ventilated residences of the faculties within the beautiful surrounding of the college campus make a contented stay. ","Patel Nagar, Dehradun-248001,
Uttarakhand, India
"," +91-0135-2522110
, 2522109 ",1. SGRR Hospital is a higher center provides  health services  in Dehradun & surrounding area on nominal charges..,4,
,,,,,,2. Good environment and good faculty.,3,
,,,,,,,,
26,Netaji Subhash Institute of Technology (NSIT),,"Towards meeting the growing demand of manpower in the field of technology, the then Delhi Administration, with the approval of Ministry of Human Resources Development (MHRD), Govt. of India, established a new Engineering College by the name of Delhi Institute of Technology (DIT) in July, 1983.

In the year 1983, the Institute started with the academic program at UG level in the area of Electronics & Communication Engineering with an intake of 45 Students under the Faculty of Technology, University of Delhi. New programs in the areas of Computer Engineering, Instrumentation & Control Engineering, and Manufacturing Processes & Automation Engineering were added subsequently. Administrative autonomy was granted to the institute in 1986. The Institute was registered as a Society in the name of “Delhi Institute of Technology” (DIT) on 12th June 1987 under the Societies Registration Act No. XXI of 1860 (Registration No. S-17742 of 1987). The Institute initiated Ph.D. programs in 1989 and also formulated a number of PG programs, four of which were approved by the AICTE in the year 1994. The Institute has been and is affiliated to University of Delhi for all its UG, PG and Ph.D. programs.

From 1983 till 1998, the Institute was operating from its old campus at the old I.G. Block, Kashmere Gate, Delhi - 110006. The Institute was formally inaugurated in its own new campus in Dwarka, New Delhi, 23rd January, 1997 by

Sh. Atal Bihari Vajpayee , the former Prime Minister of India. The Institute was renamed as ""Netaji Subhas Institute of Technology"" (NSIT) in the year 1997 vide Gazette notification No. D.L. - 33002/97 dated 20.02.1997.","Sector-3 
Dwarka, Delhi 110078","25099043
25099050",1. The starting Days of my work is very typical for me and my co-workers is very supporting and i learn many thing in this company,3,
,,,,,,"2.I was working as Trainee Project Executive, where I improved my HTML skills well. Also there I was improving my English vocabulary.",3,
,,,,,,"3.Pros
They select every person. Easy to crack Interview
Cons
Salary not on time, depend on paid cafeteria food, unorganised seating arrangement",2,
,,,,,,4.i want a job in cool environment and good working place. i would prefer job in kolkata. its a good company but give salary lately,5,
,,,,,,,,
27,National Institute of Technology (NIT) - Delhi,www.nitdelhi.ac.in,"National Institute of Technology Delhi (NITD) is one of the thirty NIT (s) established in the year 2010 by an act of parliament and has been declared as an Institute of National importance. NIT Delhi is an autonomous Institute which functions under the aegis of Ministry of Human Resource Development, Government of India. It aims to provide instructions and research facilities in various disciplines of Engineering, Science and Technology, Management, Social Sciences and Humanities for advance learning and dissemination of knowledge. The mission of NIT Delhi is to produce human resource those who are creative, competitive and innovative with high intellect and ethical values. The Institute is imparting holistic education, along with inculcating high moral values in its students.","A-7, Institutional Area
Near Satyawadi Raja Harish Chandra Hospital,
Narela, Delhi – 110040", +91 11 27787501,"1Academis at NIT Delhi is well organised and rigorous. Regular classes are organised and a student is supposed to have a maximum attendance of 75%. Based on the topics taught by the faculty assignment and tests are given to the students ar regular periods. Courses are updated and maximum choices are available for ECE,CSE and EEE branch students. Faculty at NIT Delhi are well qualified and latest methods are used to make the classroom session more interactive. Professor are available most of the times and ready to help student with any issues.",5,
,,,,,,"2.NIT Delhi has got a good placement record of 98% and almost every student gets placed. Some students even have multiple jobs. Internship are provided by the companies visiting the campus and its also a part of curriculam. Annual visit to industrial companies are also given by NITD for industrial exposure. Average salary so far is 6-8LPA (INR).

Alumni network is still in its budding stages but NITD has developed good relationship with other IIT'S and NIT's through NIT Conclaves and other events of same kind.

",4,
,,,,,,"3.NIT Delhi has got excellent infrastructure and classrooms have projector for better presentation. NIT delhi libraries has got almost every book you loook for and i has subscription to all major magazines and newspaper like TOI,The Hindu,EFY etc.Thw campus has 24x7 wifi facility at all corners of campus. NIT delhi mess serves good quality food wherein hygenic and taste is given utmost priority.

NIT Delhi has good transport facility as we have buses,cabs runnning all the time and metro connectivity makes its a lot easier.

",3,
,,,,,,"4.Both on and off campus of NITD area is good. Several apartments and residential area gives you ample choices to pick from from. The on-campus facility is best as the hostel alloted are of good class and fooding is excellent.

Given a choice i would go for on-campus facility.

",,
,,,,,,,,
28,Faculty of Engineering & Technology - Jamia Millia Islamia,jmi.ac.in/fet,"The Faculty of Engineering and Technology was established in 1985 with the objective to provide outstanding engineering education directed at enriching the quality of life in an emerging knowledge-based society. The mission of the Faculty is to graduate morally conscious and highly competent engineers, conduct internationally recognized research, and provide quality professional and community services. The Faculty operates as an administrative unit within the University and thus is home to over 3000 students and over 200 academic, administrative and technical staff. At present, there are six departments in the Faculty –civil, mechanical, electrical, electronics and communication, and computer engineering, and applied sciences and humanities. Undergraduate program leading to B. Tech. are offered in civil, mechanical, electrical, electronics and communications, and computer engineering. The Faculty has a continuing education programs for in-service engineers leading to B. E. degree in civil, electrical, mechanical, electronics and communications, and computer engineering. The faculty also offers postgraduate programs – M. Tech. (Environmental Sciences and Engineering), M. Tech. (Earthquake Engineering), M. Tech. (Electrical Power Systems Management), M. Tech. (Control and Instrumentation System), M. Tech. (Mechanical Engineering – with specialization in Thermal Engineering, Production and Industrial Engineering, and Machine Design) and M.Sc. (Electronics). The University Polytechnic offers regular and part-time (evening) courses leading to diploma in civil, electrical, mechanical, electronics and communications, and computer engineering. Research programs leading to PhD are also offered by all the departments. All courses of the Faculty are duly approved by the All India Council for Technical Education, and the medium of instruction is English for all the courses.","Jamia Millia Islamia, Okhla, New Delhi, Delhi 110025",011 2698 5831,"1.BTech classes are conducted 5 days a week from 9am to 1:10pm and from 2:10pm to 5:30pm.
Although, class timings may get changed and mostly reduces as per requirement and number of lectures needed.
First half of day is theory classes and labs and experiments during the second half.
Some of the faculties are from IITs and deliver a high quality of education by audio and visual techniques.
Also, some faculties are not going to teach you even a single word and you have to study yourself in those subjects.
Minor and Major projects are integrated part of course.
You can get many other projects and competitions as per interests like HPVC, motor vehicle and robotic challenges etc.
There will be 3 exams per semester.
Two of them are sessionals and contribute 40% to your semester mark sheet.
One major or semester exam contribute 60% to final marks.",3,
,,,,,,"2.The faculty of social science at Jamia Millia Islamia is very good according to my experience and knowledge that I have gained in this one year. The staff is very helpful and the teachers in economics department are always there to help solve our doubts and problems. The guest faculty we had of trainee teachers wasn't as I would have wanted but even they were very helpful. Our core classes were in the morning aklng with the subsidiary leaving the evening with just one CBCS class. Also, I was given the opportunity to learn a new foreign language, Spanish, in place of English and I am continuing with a diploma in the same. The only thing I don't appreciate is that every student of social science is required to study the language urdu and how to read and write it in the first year. Even though a qualifying subject it adds to the pressure of learning a totally different writing and reading style.",4,
,,,,,,,,
29,Indira Gandhi Delhi Technical University for Women,,"Indira Gandhi Delhi Technical University for Women (IGDTUW) is a women's university located in New Delhi, India on the campus of the old Delhi College of Engineering. It was founded as the Indira Gandhi Institute of Technology in 1998 and was the only constituent college of Guru Gobind Singh Indraprastha University. In May 2013 it gained autonomy and became the first women's technical university in India.

The university has four branches of engineering, namely Computer Science and Engineering, Electronics and Communication Engineering, Mechanical and Automation Engineering and Information and Technology Engineering.","Kashmere Gate, Opp. St. James Church, New Delhi, Delhi 110006",011 2390 0220,"1.Mechanical and Automation), M.Tech, MCA and Ph.D. The college starts at 9 in the morning till 5 though most of the students stay in the college till 7 because of projects and all. Not all but yeah about 60% of the books can ne issued from the library book bank.Not to worry about the rest 40% books because there is a second hand book market NAYI SADAK which is a 20 min walk from the college or why walk you can always take the metro which is a 4 min walk from the college.There you can get books for a very good price and can even return them at 50%. The labs are open till 5 from monday to saturday and the assistants are very helpful.Faculties are all good..most of them possessing doctorates from reputed institutes. Since it's a womens university most of the faculty members are female.",4,
,,,,,,"2.IGDTUW is an engineering college for girls. The notion of engineering stills bars girls from this professional field, but, the college provides the perfect environment for girls to pursue and prosper in this field. The courses available here includes B.Tech in computer science, electronics and communication, information technology, mechanical and automation. the courses also include PhD and MCA programs. The.The faculty available at the college is highly qualified, where almost all the professors hold a doctorate in their field of study. The teaching schedule is tight, but gives a sense of the hard work that has to be put in this field. The teaching methodology is quite comprehensive, teachers are well available outside the classes as well, extra classes and doubt sessions are arranged whenever required.",5,
,,,,,,"3.Schedule,yeah it is hectic if you follow it.We have our schedule from 9 to 5.Sometimes,its continuous without any break,but normally we get 1 hr. break in between.Assignments,Internal tests,Attendance actually influence your internal marks a lot.The whole thing is based on these. Usually teachers opt their own classy method of teaching on their own. You just need a pen and notebook to take the notes because they are very useful as per internal tests.No books are actually required for class but for externals you will need one. And as our college opt semester system then you don't need to buy new book every time.You can have second hand books from seniors.Teachers are normally available in college till 5.So, you can reach them and they can help you with your issues.",3,
,,,,,,4.The college is good.,1,
,,,,,,,,
30,Mangalmay Institute of Management & Technology,www.mangalmay.org,"About Mangalmay
The year 2002, saw the sapling of MIMT being sown, as a result of the dedicated and committed efforts and aspirations of the Mangalmay Foundation Trust along with a dedicated Team of Academicians and Professionals.

With the passage of time, the Institution diversified into the fields of Management, Engineering, Biotechnology and Education through Multi-Disciplinary programmes, became an NAAC Accredited Institute and achieved a position among the Top MBA colleges. State-of-the-Art Infrastructure, lush green campus, dedicated and qualified faculty, keen aspirations among students, saw a fledgling institute emerge from the shadows to occupy a prominent position among the community of premier institutions and best MBA college of the region.","8 and 9, Knowledge Park II, Greater Noida, Uttar Pradesh 201310",099711 08300,1.College starts from 9:30 am upto 4:50 pm. All students of B.tech Dept. are busy with theoritical  knowledge and less time is given to the practical ones. As we student want all means theoritical+ practical knowledge together to be the change of the tomorrow world. ,3,
,,,,,,"2.The quality and method of teaching is now all depend on the student and teachers,some teachers give their best and teach very well but some are just wasting time.",3,
,,,,,,3. The experience is good as i always take some chellenge to do something on that with my friends to make or think beyond the world to make.,4,
,,,,,,4.best college with this fees and best faculty and place ment is awesome,4,
,,,,,,,,
31,Indraprastha Institute of Information Technology - (IIIT Delhi),https://www.iiitd.ac.in,"IIIT-Delhi has decided to recognize students who have shown excellence in any sphere of student life - academics, extra-curricular, and research.","Okhla Industrial Estate,Phase III

(Near Govind Puri Metro Station)

New Delhi, India - 110020",11-26907400-7404,"1. My institute Indraprastha Institute of Information Technology,Delhi(IIITD) is new It started in 2008,In a relatively short time, it has earned a good reputation in India and abroad for being a center of quality education and research in IT.Its academic program consisted of B.Tech., M.Tech. and Ph.D. programs in CSE and ECE. It has the best faculties from all over the world and all are Phd's and are mostly young.One should understand that the institute is known by its faculty and this is what IIITD have. Our classes starts around 10am and we have 5 working days.IIITD offers a wide array of elective courses making it easier for the students to experiment and choose courses giving you a distinct advantage if you seek a any career.We have all courses from engineering to management,entrepreneurship etc.Here,we gets an opportunity to meet one person each week from industry or other universities who is invited for a seminar on the topics they are interested in.This concept is really interesting.
",4,
,,,,,,"2. The faculty of IIIT-Delhi is excellent. We have professors with PhDs from institutes around the world .Most professors are quite young, having recently completed their PhDs, and are very approachable . They have their office hours,  they rarely refuse even if u talk to them outside office hours. If you join IIIT, you're going to have to work a lot. This can not be emphasized enough. On the day of counselling, our director tells prospective students to join only if they are ready to work very hard. From the day one students here work hard and enjoy the quality education here. We have core courses right from the first semester. We have optional subjects like Theatre, Psychology, Issues in contemporary world, Critical Thinking. And from 3rd yr onwards we have a long list of technical subjects to choose from.",4,
,,,,,,"3.IIIT-D started in 2008, In a relatively short time, it has earned a good reputation in India and abroad for being a center of quality education and research in the field of engineering .Its academic program consisted of B.Tech., M.Tech. and Ph.D. programs in CSE and ECE. It has the best faculties from all over the world and all are Phd's and are mostly young.Whole atmosphere of college is totally different from other college's in India. Our classes starts around 10 am and we have 5 working days.IIIT-D offers a wide array of elective courses making it easier for the students to experiment and choose courses giving you a distinct advantage if you seek a any career.We have all courses from engineering to management,entrepreneurship etc.Here,we gets an opportunity to meet one person each week from industry or other universities who is invited for a seminar on the topics they are interested in.",5,
,,,,,,4.I have a 4 months semester. This is pretty shorter than other institutes but the schedule during becomes hectic one semester in its full swing.We have regular home works and tests and one course project in almost every course. The main courses in first two years are fixed but in third in fourth year we choose our courses on our own. Professors use very well methodology of teaching which is very effective for students. Each professor sets his office hours for each course as per his schedule during which we can reach to him/her with our query.,4,
,,,,,,"5.The college offers three degrees - bachelors, masters and phd in CSE and ECE. The college has a very research oriented course structure. Every course requires a project to be done every semester. They have a continuous evaluation system and allows the students to improve their scores. Number of streams in both CSE and ECE for each degree are there to chose from like - Mobile Computing, Data analytics, Security and Privacy and dataprocessing to name a few. The professors are of top most quality. One of the best institutes in Delhi !!!",5,
,,,,,,,,
32,Manav Rachna International University (MRIU),mriu.edu.in,"MREI is one of the top names in higher professional education and a recognised leader in research and scholarship at the graduate and postgraduate level across an enormous range of both disciplinary and interdisciplinary fields. It is no wonder then, that we attract students and faculty who are among the most outstanding scholars. We enjoy a salubrious climate and a natural environment of vigorous and inspiring greens.

Our educational requirements are such that we can provide our students the innovative training they need to ensure and promote the health and well-being of individuals and populations alike. Our students eventually become professionals and recognised researchers highly sought after by top employers and the world.

We strive for perfection, and our innovative teaching methods and state-of-the art research programmes are gaining us a place among leaders."," Delhi Suraj kund Road, Sector 43, Faridabad, Haryana 121004",0129 425 9000,"1. If you want to attend this college for knowledge then a big NO!
and.. if you just want to complete a B.Tech degree while sitting at home then a big Yes!
I was there for B.Tech ECE (2010-14) and my observations are:
* Clearing the exams in MRIU is cakewalk if you have little knowledge and good touch with faculties
* Lab/Practicals/Projects are all just for namesake
* Placements in MRIU depends on market and mostly they will push you to attend Off Campus in Chandigarh or Panipat on your own arrangements, and in those off campus you will see some 5K to 10K students from North India descending to get 100 or 200 jobs
Now even if you are lucky/talented enough to get a job in those off campus, you will be barred from attending Campus Placements
* Fee structure is way too high in NCR area and MRIU is no different, to add to fee you will have shed more and more on travel to the campus which is located quiet far from any bus/train/metro station
You will have to realize on local auto and they are gonna charge you 100+ to take you to nearest locality(Sec 21) even if you are bleeding from head.
* Few of the faculties are very good but majority of them are there because they are preparing for GATE or PO exam
Experienced faculty were i guess tired of internal politics among them and you will see even them unable to do any good for you
* Attendance: they will expect you to be at minimum 60% but i found even those with 30% just being warned for future
During placement session, they in fact used this as a reason to stop you from attending
*Other few things will be, they take fee for next semester from you before exams but they will not refund your security for years. [Its 2015 now, and even 2013 passed out are still waiting for their refund of 5k, now calculate the total money they have kept with them and the interest amount they woul have made on it]
* To summarize, if you are wealthy enough that you have no concerns of future and you have family business waiting for you, then go take it, you wont get many supplies or calls to home, but if you are even 10% serious for future then go to some other college.",2,
,,,,,,"2. I am pursuing Computer Science Engineering at Manav Rachna International University.  And I am in love with my college. I have got so many good opportunities  to grow over here. From academics, technical, cultural, literary to  innovation, Manav Rachna supports its students in all fields.

The  infrastucture is great and faculty members are experienced and helpful.  I have never had a single problem so far. Our faculty members motivate  us to take up projects so that we can have practical exposure and are  ready to work in industry. The Manav Rachna Innovation and Incubation  Centre is an excellent example of Manav Rachna's vision of developing  innovation and entrepreneurship skills in students.

The placement record is excellent. All my seniors are placed in good companies. I love being at Manav Rachna.",4,
,,,,,,"3. Practical things are not given so much concern eg. Lab Work, Languages.
Fee structure is high.
Crowd is rich, but not so intelligent :P .
MRIU degree is less worthy as MDU's as MRIU is a private university, so, for off campus placement MRIU degree is not very helpful.",5,
,,,,,,"4.It is one of the private engineering shops in NCR region like many other shops.

Stay away from these.
",4,
,,,,,,,,
33,University School of Bio -Technology,www.bio.cam.ac.uk,"The School of the Biological Sciences encompasses the Faculty Board of Biology and the Faculty Board of Veterinary Medicine and is represented on the Faculty Board of Clinical Medicine. It has responsibilities across three Triposes (the Natural Sciences Tripos, Medical and Veterinary Sciences Tripos and Psychological and Behavioural Sciences Tripos).

It shares the Graduate School of Life Sciences, Graduate Committee and Medical Education Committee with the Clinical School. It has its own Degree Committee. It includes nine Departments, the Psychometric Centre and Centre for Family Studies, plus five major research Institutes and an animal hospital. The School is a key player in the Cambridge Conservation Initiative as well as the majority of Cambridge Strategic Initiatives. The School is associated with the Museum of Zoology and the Botanic Garden. Key officers of the School plus details of relevant Research Ethics Committees (Human Biology, Psychology) can be found on the School's website. Various subcommittees report to the Council, as required.","School of the Biological Sciences 
17 Mill Lane 
Cambridge 
CB2 1RX",01223 766894,"1. 
-Academics come first and foremost in this college. I've heard that some majors are better than others, but I graduated being very satisfied with the education I got, and most of my friends feel the same way.
-Professors here care about your state of well being and are not absorbed in their research all day. They'll do anything they can to make sure you learn something valuable. I'm still in touch with some professors today!
-If you ignore the construction going on,  campus is beautiful. You'll see that when it's really nice outside, people'll sit near the trees, on benches, or basically anywhere they can outside to work. It certainly beats staying in a dorm room all day.
-Buildings, whether dorm rooms or academic facilities, are cleaned very thoroughly. 
-People here, for the most part, are VERY liberal.
-The few people I made friends with here are FANTASTIC. We're basically friends for life at this point.",3,
,,,,,,"2. biggest problem, in my opinion, is its lack of diversity, despite it claiming it to be one of the more diverse schools in New Jersey. Almost every person that I've met here (with the exception of a few) stays inside their social circle, and does not venture outside of it to meet different people. Athletes will stick together, fraternity brothers will stick together, computer geeks will stick together...basically, every high school clique you can think of exists here. Because I met people from all different groups, it was hard to fit in with just one of them. Diversity is not just about having students from varying backgrounds-it's also about having students interact with each other despite of this. ",3,
,,,,,,3. good for bio technology student.,2,
,,,,,,,,
34,JSS Academy of Technical Education - Noida,www.jssaten.ac.in,"Established in the year 1954 the Jagadguru Sri Shivarathreeswara Mahavidyapeetha has been described by many eminent educationists as greater than a University, because under its aegis a child can begin its education in the kindergarten and proceed to earn a degree as well as a doctorate in several branches of learning. Simultaneously the Mahavidyapeetha has not neglected to strengthen the roots of our ancient knowledge, wisdom and culture and their application in the day-to-day life.","C-20/1, Sector-62, NOIDA (U.P)-201301","0120-2400104, 
2400115","1. It's a good college, it focus only on studies. Please pay attention, 'ONLY' on studies. no exposure to the happenings around you, no fests, no extra curricular activities. Forget about your talent and do studies.",3,
,,,,,,"""2. The daily routine of JSS Academy of Technical Education is that class starts at 08:30 to 04:30 with a lunch of 1 hour (12:30-01:30). There is no specified project timing. For the projects, you have to give external time.
There used to be 2 sessionals and 1 PUT exam and finally end with external semester exam conducted by UPTU.
Some of the faculties are good in teaching having perfect knowledge and always being supportive. Even some are not good in teaching but are helpful. If there are pros then there are some cons in it. Here the cons are worst than ever.

The overall experience in the college was good. But the problem you are going to face is for attendance. You have to maintain at least 75% of attendance in the whole semester.""",3,
