S. No.,Category Name,Description(Minimum 80 words),Singer/music Director/Director,Reviews,Rating,Images
18,"Yeh Hai Mohabbatein 
Star plus","Ye Hai Mohabbatein, based on a novel Custody by Manju Kapoor, showcases divorce, infertility, remarriage, mature love and deals with societal issues. It follows the story of Raman and Ishita who are connected by their common love for Raman's little daughter Ruhi. Ishita is a Tamilian whereas Raman is a Punjabi.Ye Hai Mohabbatein, sometimes spelled Yeh Hai Mohabbatein (English: This is Love), is an Indian soap opera that airs on Star Plus. It premiered on 3 December 2013[1] and airs Monday through Saturday nights. It is produced by Ekta Kapoor of Balaji Telefilms. It is based on Manju Kapur's novel Custody.
It looks like we don't have any Synopsis for this title yet.
Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Synopsis submission guide.",,"1. Yeh hai mohabbatein is a programme comes in a television of a star plus channel.in star plus channel most of them we see a programme channel mostly all times it is a channel always of ladies , women , or girls programme because they live home than boys so they keep watching this type of programme at sitting at a home.Ishita and toshi are the main roll of a yeh hai mohabbatein.this two ishita and Toshiba are a main roll which they uses in this television programme without them yeh hai mohabbatein programme is complete without them.

",2,
,,,,2. First of all I would like to say this serial was one of my favorite when ruhi was a little kid and the chemistry between raman and ishita has been started but right now I really feel that it is the worst serial and star plus should stop this serial with a really good THE END episode where everyone is happy including shagun.,1,
,,,,"3. Yeh hai mohbaatein has completed more than 2 years on tv and I m 100% sure that this show has never shown a single episode without nonsense in it.

This show is pure nonsense whether its story or direction or what not.

The story of the daily soap is fixed.there is a female lead and she will save her whole family from the evil strategy of the villains and in every 10-12 days this is the story that circulates but everytime in a new packet.

One thing about show that goes in favor is that the perfamnce are decent and watchable but other than that it is a pure torture",2,
,,,,"4. What the hell is going on in this serial I just dont get it. I never did actually. No one dies, no one gets actually killed, no one gets actually pregnant from one man. I completely hate this shitty dram serial. Non sense totall non sense. Marrying the same person over and over again doesnt make a good drama but it truly makes a mess.",1,
,,,,,,
19,Kumkum Bhagya Zee tv,"Kumkum Bhagya' is a show following the life of a Punjabi matriarch Sarla Arora who runs a marriage hall and lives with the hope of seeing her two daughters Pragya and Bulbul who're poles apart, happily married some day.Pragya, the elder daughter, who is practical, hardworking and committed to supporting her family though she's barely finished her own studies, she teaches at a college to ensure that her mother Sarla's meager earnings from the 'Kumkum Bhagya' marriage hall never fall short in making the two ends meet. In the midst of all this pressure on her, she's forgotten how to unwind or pursue any passions of her own. Bulbul, the younger daughter who has her head in the clouds. She's vivacious, smart, stylish and a complete dreamer. It barely occurs to her to snap out her own make-believe, rose-tinted world and be of any real use to her family. The show takes us through the lives of the 2 sisters, their hopes dreams and aspirations.Simultaneously runs the story of Abhi who is Rockstar with a cult following of his own and Suresh, the college professor who works closely with Pragya. Having led a tough life in the military and lost most of his close ones, he is an embittered soul with much angst and pent-up frustration about life....Kumkum Bhagya Every Mon- Fri 9 pm only on Zee TV.",,"1. In the start this shhow is very good bt now this show is to boring. They show same thing repet and repet

. There all cherecter are very boring . Or kavi bhi un ka kumkum bhagya nahi milta ha. Mujya lagta ha un ka kumkum bhagya ganga g ma bah gaya ha. Agar serial agay chalna ha toh kuch hat k karna padega warna band kar lo serial.",1,
,,,,2. I am one of the very biggest fans of Kumkum Bhagya. It is such a very good serial I have ever seen this. one of the most watching serial by me. one of the fabulous serial. don't know what to say I am so excited to watch the serial whenever it comes. I don't want to wait for the next episode I want to see the whole series at a time. it's a great punishment for me to wait for the next episode and to wait to see the chemistry between Pragya and Abhi I just love this serial and wanted to see more episodes,5,
,,,,"3. Kumkum bhagya is a daily soap of zee tv telecast at 9 p.m. Monday to Friday. I like to watch the chemistry between abhi and pragya but I think this show has no connection with reality. Abhi behaves like he doesn't know about what happens with him and his family and pragya blame s herself for each and every problem and solution also.

Now a days abhi lost her memory of two and half year and this is irritating. What the story wants to prove nobody can understand. Some comic event are interesting.

Hope abhi and pragya meet for ever after.",3,
,,,,"4. When kumkum bhagya get started I used to see sometimes as it was new serial and concept was also good how rockstar and common girl will fall for each other .then the story started slowly and they get married off and fall in love slowly but now I feel that this serial should be stopped , they are stretching it up unneccessary and it is boring now.whenever now I comes up I switch it on to another channel .it is unbearable.new shows should be come up with instead of this show.actors are good and hard working.problem now is that plot has become boring and trp as also come down as other new and interesting shows are coming up then who will watch this boring serial.",2,
,,,,,,
20,"The Kapil Sharma Show 
Sony","The Kapil Sharma Show is an Indian Hindi stand-up comedy and talk television series which premiered on 23 April 2016 and is broadcast by Sony TV. The series revolves around Kapil Sharma and his neighbors in the Shantivan Non-cooperative Housing Society.

Development began in December 2015, when Sharma announced his plans to create a new show for a Hindi general-entertainment channel other than Colors TV. The series received mixed reviews; one critic said, ""Kapil Sharma’s wit and funny one-liners bring a smile"", but another called it ""dull and disappointing"". It has received positive feedback from audiences, gaining top TRP ratings in the non-fiction category.The series' format is largely identical to that of Comedy Nights with Kapil. The Kapil Sharma Show revolves around Sharma and his team of comedians, including Kiku Sharda, Sunil Grover, Sumona Chakravarti, Chandan Prabhakar and Ali Asgar, who play residents of the Shantivan Non-cooperative Housing Society. Each episode features Bollywood celebrities, who usually promote their latest film, and joke with the cast. Navjot Singh Sidhu plays a judge who impresses the celebrities with his poetries.",,"1. The jokes are simply not funny. I kept wondering what the audience is laughing for. Perhaps, the audience is paid to laugh. The script is poorly written. Of 20 jokes cracked, one might find 0- 1 joke funny. Rest all get laughs for no reason. ",1,
,,,,2.  Pretty women are treated very poorly on the show with sexist jokes. Humour should not be insulting or mocking or sarcastic or sexist. Kapil Sharma should go back to school and learn the true meaning of humour. ,2,
,,,,"3. Most of the jokes are insulting on women. Kapil Sharma's lines, particularly, are insulting, mocking, and plain rude. It is unfortunate that this show continues to get shown on TV today. Shame! ",3,
,,,,"4. Role of Navjot Singh Siddhu is unclear. Sindhu rarely brings anything to the show. He sits there and laughs with the audience, whether the joke is funny or now. I feel a bit sad for Siddhu.",2,
,,,,,,
21,Brahmarakshas Zee TV,"Rishabh’s mum is in danger. BrahmaRakshas will kill anyone who comes in his way. Rishabh and Raina are trying to save his mum. Raina has kept lotus and want to save his mum. BrahmaRakshas has spread his terror again. This time, he attacks on Mohini. He drags Mohini with him. Mohini screams and shouts for help. Everyone come and witness the incident, but are helpless.
BrahmaRakshas makes Mohini hand in air and throws her down. Rishabh does not understand why BrahmaRakshas attacked on Mohini, when she did not wear bridal dress and sindoor. Rishabh shouts and everyone stop Rishabh from going there. Raina goes ahead to save Mohini. Rishabh and Raina could not save Rakhi. Raina is sure that lotus will control the devil. She does not want to lose Mohini and runs after the devil. Raina wants to stop BrahmaRakshas, but fails again. BrahmaRakshas’ anger and the secret behind taking away Mohini will be seen in track ahead.",,No reviews,,
,,,,,,
22,"Taarak Mehta ka ooltah
 chashmah Sab Tv","Taarak Mehta Ka Ooltah Chashmah is an Indian sitcom produced by Neela Tele Films Private Limited. The show went on-air on July 28, 2008. It airs from Monday to Friday at 8:30 pm and is repeat telecast at 11:00 pm and the next day at 3:00 pm on SAB TV. The show started its re-run on Sony Pal from November 2, 2015 at 12:00 pm and 8:00 pm everyday.

The show is based on the column Duniya Ne Oondha Chashma written by columnist and journalist Taarak Mehta for Gujarati weekly magazine Chitralekha.

On October 2, 2014, Prime Minister of India Narendra Modi invited the entire team of the show to take part in the Swacch Bharat Abhiyaan. Recently the Polish deputy prime minister visited the sets of the show.

The show was declared by the Limca Book of Records as the longest running comedy show after completing its 1700th episode on June 22, 2015. The show completed its 2000 episodes on August 11, 2016.",,"1. Taarak mehta ka ulta chashma is one of the best show on Indian Television. I really love this show. The show is based on the happenings of a society named Gokuldham. It is based on the day to day life of its members. The society members are from different Indian cultures & communities and still they live together in peace and harmony. They celebrate festivals with each other. There are lots of characters on the show & every character is unique and funny. The story revolves around the Jethalal and his family. There is a kids party called as Taapu Sena. The thing i love in this show is, it teach us how different religions people can live together in peace. Laugh and Learn... Totally Recommended..",5,
,,,,"2. First of all, the comedy content is somewhere lost in the show.. And all credit goes to madam Daya ( daya Karo ab Tum) and Tapu Sena.. Don't know why Asit Modi is so relying on silly Daya when there are so many talented characters in the show such as Bhide, Sodhi Baha'i, Iyer, popatlal and of course jetha with Babuji.. There has been a huge transformation in the show, earlier the content used to be a hilarious ride along with a social message.. And every story was linked to the other one.. However now they keep on annoying us with Daya and her irritating voice with weird faces.. I hate her.. They should stop dragging the show in order to make record of episodes and should start writing some good comedy episodes.. Even the direction has gone poor.. Earlier it used to be a stress buster but now the show has started giving us stress and irritation.. Please do something about it otherwise please wind up the show.. Humble request..",1,
,,,,"3. Very disappointed as daily viewer of this show. I know, I started watching this show in early 2011. That time this was my Favorited show. But day by day they are decreasing their quality of comedy. They are loosing the charm of comedy. Earlier episode of Jetha and Babita was very funny ever. But from the year 2014 to still in 2015 director Asit modi and Character of Tarak Mehta (Shailesh lodha) thinks people are fool, & they will watch what we show to him, this was seen when Daya's mother was not came in the serial, audience was made fool when Daya's mother was going to come but really she didn't came in the serial. They also thinks, We can make people fool easily by showing third class quality of written all last 300 episodes. Sense of humour is lacking in all last episodes. I will request all loyal viewers to don't watch this worst Daya's centered show. The worst character of this show. Please increase your quality to make viewers happy.",1,
,,,,"4. I don't understand Hindi much, but this serial WAS amazing. Story, Action and everything WAS amazing (till 2013/or 2014). I did not see this kind of clean comedy anywhere. English Sitcoms are also amazing, but they are mostly based on Adult content.

Since one year, the quality has been degrading, very much.

If they don't improve it, the viewer-ship will RAPIDLY be going down. And coming to Male or Female domination, we should think this is just for fun. There are Female dominated/oriented families (Ayyar and Babitha, Madhavi and Bhide), so we can not point out this. Overall, this was amazing and hilarious serial. But now, everything is very very boring. Direction, Story, Action, Settings, and even the camera as well.",5,
,,,,,,
23,Bigg Boss Colors,"The show Bigg boss is very famous reality show on colors channel. This format is taken from the reality TV show Big Brother that was discovered in Netherlands.In past ten years the TV show has gained popularity in India. There are nine seasons that are already broadcasted. The Big Boss house is a well decorated house. That usually has one or two bedrooms, kitchen, activity area, gym,swimming pool and a big garden.All the contestants are called as housemates. These housemates are kept isolated from rest of the world and are locked inside the house with cameras. This house is built every year and it away from Mumbai. Every week there are nominations of the contestants for eviction. The contestants who receive the major votes are nominated.

These nominated contestant appeal the public to vote for them so that they stay safe. The nominated contestant who gets the least public votes is evicted from the reality show. There are few finalist from whom the final contestant of the show is selected who is also based from the public votes.",,"1. Bigboss 10 becoming day by day very much interesting because of only common man they are playing there game sharply , I want to warn celebs that aam aadmi sota hua sher hai ungly mat kar nahi to cheer phad kar dega. Manu and Manveer were playing there game very intelligently I wish u keep rocking man. Please guys vote seriously ",4,
,,,,"2. big boss 10 making clearly unfair decisions to indiaWale.
Every week Indiawale is elimated purposely who is entertaining show. And all celebrities who are lazy uninterested and thinking themselves educated are dumb and making show flop. Big Boss if u want to eliminate all Indiawale than why you gave them chance.. Shame on your decision big boss.",3,
,,,,"3. Dear maker of Big Boss kindly don’t bring common people, we are a big fan of BB since season 1 but this time it is so boring, we don’t feel like watching even. Specially Manu & Manveer they don’t know even how to talk. Totally disappointed this time. Atleast Mr. Khan is there who is very entertaining so we can watch Saturday and Sunday episode. Bring in few more celebrity, I think that will increase the TRP also. Thank You",3,
,,,,"4. I feel that this is the worst season of big boss bcoz of 3m(mona, manveer & manoj ). These guys are not completing any single task & always ready to fight.",2,
,,,,,,
24,MTV Roadies,"MTV Roadies is a youth-based popular reality television show on MTV India. When asked about the show, executive producer said, ""Roadies has travel, adventure, drama, touch of voyeurism..."".Raghu Ram and Rajiv Laxman, the creators of Roadies, have left the show in 2014. They told the media that they wanted to give chance to the new generation to carry forward the show and they have done enough to popularise the show.The auditions of this reality TV show were conducted by popular VJ's like Raghu Ram, Nikhil Chinapa and Rajiv Laxman. From 12th season onwards, the auditions are conducted by Rannvijay Singh, Vijender Singh, Karan Kundra and Esha Deol. In the 13th season, Vijender Singh & Esha Deol were replaced by Sushil Kumar and Neha Dhupia respectively. Sushil Kumar was later replaced by Prince Narula, the winner of Roadies X2, Splitsvilla 8 and Bigg Boss 9.

The applicants are first asked to fill out a form and then attend a Group Discussion (GD). The form consists of basic questions regarding the applicant and includes some questions like ""Why do you want to be a Roadie?"" and ""What is the greatest regret of your life?"" etc.

Moderators watch the performance of all the applicants in this GD and then they shortlist some people who are called on the next day for the Personal Interview round.

This personal interview takes place with some of the above-mentioned VJ's. And These interviews are known to be intense and try to bring out the true nature of the participant. These interviews often have abusive language and the interviewers don't like applicants who have lied on the application form. The interviewers always stress on not lying in the application form and showing who they really are, instead of portraying a false personality in front of them.",,"1. I used to love this show when it had raghu ram & rajiv lakshman. the show used to be so badass & interesting back then, also the interviews were much much more awesome.!

now the whole concept has been made sh* t, literally. it looks more like a talent judging show rather than a badass reality show. everyyear they now take an actress with a f* cked up career & a sports man that has no knowledge about anything & tries his best to act cool - along rannvijay and karan kundra. it would be a much better show if they held auditions like they used to be.",1,
,,,,2. I Like this tv show am a big fan of roadies I love to watch the physical tasks performed by roadies & gang tasks.physically and mentally strog contestent can only win the show.ranveejay is best as a gang leader I like karan kundra also Gealyn hosting is gud.all over it is best show then other tv shows bocz common people participate in this show It love it.roadies keep rocking. am waiting for roadies x5,4,
,,,,"3. I want to be there. People are saying that it is a very abusive show yes it is only for those who are not give respect women's and not genuine but who capable to survive in the show and genuine person. And I love the concept of this show it is the show where you prove yourself and earn respect for yourself and last 2 session were superb but I miss raghu and rajeev . I wish that bani come as next session as a group leader and karan , ranvijay is good . But neha not do so much and I don't like her at all.",5,
,,,,4. Roadies is a awesome show yes splits villa is a good ahow but roadies is way difrent then that most of tge time who participate in roadies then they come to splitsvilla thats how roadies has grown so far and tge audience are building over the year so much .i really like thia show as it show unique talents of a person I agree with the fact tgat peole dont miss even the audition process of this show so much entertaining and unlike splitsvilla show it does not look like scripted made only for entertainment pourpose.currently roadies is the number 1 show running in television.,4,
,,,,,,
25,Super Dancer Sony Tv,"The Future of dance is here!
Here's your chance to win Gift Vouchers from Sony LIV! All you have to do is to share your favourite Top 12 Super Dancer Finalists on Facebook, Twitter and Google+ and make them as much popular as you can. The more you share, more are the chances for your favourite contestant to score maximum on popularity meter. 20 most active users on Super Dancer site will have a chance to win the Gift Vouchers worth Rs 5000 from Sony LIV.
",,,1,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
26,Rising Star Colors,"Colors Televison brought to you the Live Singing reality show for the very First Time in Country. Here is the Auditions Date, time and Venue we love to mention. Auditions going all over the country for the best singing sesation. See the Locations and Timings fro the Auditions.
Rising Star 2017 Singing reality show is the live Singing reality show. See the detailed auditions Schedule below. Register for the Auditions and you can be part of it on the specific date and Time mentioned at the nearest location. A musical talent show, in which contestants showcase their talent and the viewers are the judges, voting through an application during song performances.",,1.Rising star is pretty much my favorite show ever! (This summer..) I think the contestants sing choices are pretty appropriate. God message never to give up I give it a big thumbs up,3,
,,,,"2. I think it teaches kids what ever you love, go for it and it can happen. Now there is some minor swearing in the show but the talk so fast you can barely hear it. And you profile picture is optional. It also teaches kids that you can't please everyone.",4,
,,,,"3. Nothing can't save this boring, bland, Idol wanna be show.",1,
,,,,,,
27,Savdhan India Life Ok,"Savdhaan India - India Fights Back (English: Attention India! - India Fights Back) is a Hindi-language crime show aired by Life OK and STAR Utsav owned by STAR India.This show is hosted by Sushant Singh, Gaurav Chopra, Mohnish Behl, Pooja Gaur, Saurabh Raj Jain, Hiten Tejwani, Divya Dutta and Siddharth Shukla. Also Actor-filmmaker Sunny Deol will host a special episode, which will shine the spotlight on the growing number of rape cases in the country. It focuses on real-life crime incidents in India and the story of struggle of the victims in order to get justice for their sufferings. 
Initially the series aired on Star Plus.A rebooted version of the series called Savdhaan India - India Fights Back began broadcast on Life OK on 23 July 2012. Versions of the program (focusing on a particular Indian state/city) have also aired as Savdhaan India - Maharashtra Fights Back, hosted by Shreyas Talpade, Savdhaan India - Mumbai Fights Back, hosted by Atul Kulkarni[6] Savdhaan India - Punjab Fights Back and Savdhaan India - U.P Fights Back.",,1. Savdhan India is the best serial on life OK. I love this serial and my family too. We know all information about our surroundings. In this serial the police do their work with punctuality and discipline. It's a reality show. They show all the realities of the countries. They give awareness to the people about the happening in the world. But some people think negative. But it is only a serial and they aware us about the bad happenings. I love this serial,4,
,,,,2. The great indian television shows that came to the band of all thing is there is the show represent all the real stories in the plot of puntuality of courage .the shows is being basen on the real plotting thats why the main stream with the help of loving people and having their great isdues with help in public interest and grest indian television as great band,5,
,,,,"3. Savdhaan india is the best serial, And show is related bye real story and it gives us information about surrounding, we can learn something from this serial

Everyone should watch it for their safety And for changing their mentality me and my family wastc savdhaan india daily and I like very much .",4,
,,,,"4. My mom watching this series whole day, and she act like sometime lady cop. shes talking no sense. if I get late for a second start thinking negtive. too much negtivity in my mom mind. I just want to say please dont set up mind of people. there thinking should be shrink. I highly not recomment students to watch this series, there's do much bettr things to watch. they are talking crap I have not seen those type of helpful policmem. hates off for those. they really doing good isnt? .",2,
,,,,,,
28,Crime Petrol,"Crime Patrol is an Indian crime reality television anthology series created by Subramanian S. lyer for Sony Entertainment Television India and Sony Entertainment Television Asia. The first season was created by Cinevistaas Limited, while later seasons are created by Optimystix Entertainment. The location of the series is set in Mumbai, India. The episodes of first and second seasons were half–hourly, while episodes of third season were one hourly. Conceived as a reality series, it was the first show on Indian television, where cameras traveled with the law enforcement authorities to capture crimes live.

The series which premiered on 9 May 2003, is the longest running reality crime television series in India, having completed twelve years in 2015.
The fourth season, titled as Crime Patrol Satark (previously Crime Patrol Dastak till 6 July 2014) is hosted by Anoop Soni.",,"1. I have recently started watching the Crime Patrol TV series that airs on SONY TV back to back from 1400 to 1800 and again at 2230. 

Each episode is complete, based on true crime incidents. The story is depicted in a realistic way, the characters could be anyone you know, the sets, the places are so familiar. The acting for the most part is pretty good and believable.",5,
,,,,"2. It is an excellent show in Indian television. Anup Soni has been doing incredible job so far. Nobody in Indian television narrates better than him. Presentation, background music, cinematography, acting all the components are very good. It shows the real problems in the society. However I feel the violence which are no far from reality shown in such a manner which makes unacceptable to many viewers. If the violence shown is edited to some extent it can be acceptable to larger number of viewers. It has brought a number of burning issues of the society. No daily soap or crime show can create such good influence. My wishes are with this show.",5,
,,,,"3. I usually never watch any Indian shows because of the poor quality of acting,direction and screenplay. Crime patrol is the only show that caught my attention and never fails to entertain me with its interesting direction and realistic feel. Despite all the drama,they still manage to get the message across to the audience. It is also helping the Indian audience(rural and urban) in understanding how the police functions and investigates locally. The narration of Anup Soni is also unmatchable and heartfelt.I find the suspense part also equally good. People arguing that it is a negative show must understand that these things do happen in the real world and little dramatization never hurts anybody. All in all,one of my favorite shows to watch on TV,and the only show I watch on Indian TV.",3,
,,,,,,
29,Sholay,"Sholay (About this sound pronunciation (help·info), meaning ""Embers"") is a 1975 Indian Hindi-language action-adventure film directed by Ramesh Sippy and produced by his father G. P. Sippy. The film follows two criminals, Veeru and Jai (played by Dharmendra and Amitabh Bachchan), hired by a retired police officer (Sanjeev Kumar) to capture the ruthless dacoit Gabbar Singh (Amjad Khan). Hema Malini and Jaya Bhaduri also star, as Veeru and Jai's love interests. Sholay is considered a classic and one of the best Indian films. It was ranked first in the British Film Institute's 2002 poll of ""Top 10 Indian Films"" of all time. In 2005, the judges of the 50th annual Filmfare Awards named it the Best Film of 50 Years.

The film was shot in the rocky terrain of Ramanagara, in the southern state of Karnataka, over a span of two and a half years. After the Central Board of Film Certification mandated the removal of several violent scenes, Sholay was released with a length of 198 minutes. In 1990, the original director's cut of 204 minutes became available on home media. When first released, Sholay received negative critical reviews and a tepid commercial response, but favourable word-of-mouth publicity helped it to become a box office success. It broke records for continuous showings in many theatres across India, and ran for more than five years at Mumbai's Minerva theatre. By some accounts, Sholay is the highest grossing Indian film of all time, adjusted for inflation.

The film drew heavily from the conventions of Westerns, and is a defining example of the masala film, which mixes several genres in one work. Scholars have noted several themes in the film, such as glorification of violence, conformation to feudal ethos, debate between social order and mobilised usurpers, homosocial bonding, and the film's role as a national allegory. The combined sales of the original soundtrack, scored by R. D. Burman, and the dialogues (released separately), set new sales records. The film's dialogues and certain characters became extremely popular, contributing to numerous cultural memes and becoming part of India's daily vernacular. In January 2014, Sholay was re-released to theatres in the 3D format.",Ramesh Sippy,"1. This movie is just the best movie i have seen. (I have watched around 570 movies) (Its my favorite movie).It has all the elements that a good movie must have:

Excellent Dialogues.

Excellent Music.

Excellent Acting. (Even the extra's where excellent)

Excellent Story/Plot.

Good Songs.",4,
,,,,"2. If you liked ""Once upon a time in the west"", ""The magnificent seven"" and ""A fistful of dollars"", you will love ""Sholay"". It takes all the good ingredients of a western, spices it with a lot of Indian ingredients and lets it simmer until you get one of the finest ""curry"" westerns imaginable. Though obviously very much inspired by the ""spaghetti"" westerns of the late 1960s/early 1970s, this easily surpasses most of the films it's modeled after. A masterpiece.",5,
,,,,3. an't find a single flaw in the movie. Probably one of the best ever made in Hindi. The camera work is flawless and grips you. The acting is inspired. The music is memorable. One of the movies you remember for life.,4,
,,,,4. This is one movie which is flawless. Great performances from everyone. The cast of the movie is just perfect. Gabbar's character remains indelibly etched on your mind once you've seen him in action. Amitabh is definitely one of the greatest actors of all times. His portrayal of a criminal with morals is all the way tops along with Brando's Vito Corleone. I think the part about cheating with false coin to save Viru's life (sacrificing his own) was a lovely storyteller's touch. 10 all the way!,4,
,,,,,,
30,Comedy Night Bachao Colors,"As the name says, Comedy nights Bachao is an Indian comedy series telecasted one day in a week. In the show, the comic crusaders take a jibe of those who came in their show as a guest by insulting and taking the fun of him and testing their patience by cracking some unpleasant jokes on the celebrity guest. TRP ratings of popular t.v comedy serial comedy nights Bachao had been rapidly increased. Comedy nights Bachao has been aired on colors t.v every Sunday and was getting a great trp. Comedy nights Bachao is an entertaining show to the good extent but still the makers of the show are in fear with the popularity of the Kapil Sharma show.",,1. INITIALLY THIS SHOW DID WELL BECAUSE THAT TIME THERE WAS NOTHING TO WATCH BUT AS SOON AS KALIP SHARMA SHOW STARTED IT STARTED GOING DOWN. THIS SHOW HAS BRILLIANT ACTORS BOT STILL SHOW IS NOT GOING ANYWHERE BECAUSE OF THE SHOW ITSELF. THE WORST PART OF THIS SHOW IS ITS PLOT. AND COMEDY PUNCHES ARE ALSO VERY SAD. AFTER PUTTING SO MUCH OF EFFORTS BY ACTORS THIS FOR  ME IS SHOULD SHUT DOWN. WE CAN ENJOY SOMETHING ELS INSEAD OF THIS SHOW. I WISH CHANEL ALSO UNDERSTAND THIS,2,
,,,,"2. Comedy Night Bachao is best best comedy show on Earth.I have watched all episodes.Concept of this show is wonderfull, unthinkable, I never expected before that this type of show we'll See.In Comedy Nights Bachao Celebrities come as guest and Casts of this show was play live acts.All Casts of this show was too talented.Krishna and Bharti are host of this show.Krishna and bharti are really very talented and they are doing very hardwork.Ada khan, karan and all Casts very talented.Sudesh is too good.I love his mimicry and video dubbing.In one sentence Comedy Nights Bachao is greatest Show in India and World also. NK",4,
,,,,"3. Poor jokes, lame comedy and insulting guests is what you will find in this show. Krushna and Bharti's overconfident acts is not at all entertaining. There is nothing to laugh. You may become furious instead. Colors should stop this show immediately and should come up with something better.",1,
,,,,4. Its just a boring show which disappoint you. It has just boring concept of inviting the guests and insulting them by making there fun with really worse jokes. I dont think that this show would be continue for a longer time. It is just making fun of personalities. So this is my review about this mindburning show.,1,
,,,,,,
31,"Aaj Jaane Ki Zid Na 
Karo (Gazal)","Aaj Jaane Ki Zid Na Karo [Please don't insist on leaving today] is a Ghazal written by Fayyaz Hashmi. It was popularlised by noted classical vocalists, Habib Wali Mohammad who also sang this song as a film playback singer in a Pakistani film Badal Aur Bijli (1973). Then the famous ghazal singer Farida Khanum also used to sing it in her television performances and in her live public concerts.  It is sung in Raag Yaman Kalyan .
The song is sung by many artistes like Asha Bhosle (Asha Bhosle: Love Supreme, 2006) The song was used as background music in a scene in the Mira Nair's Golden Lion award winning film, Monsoon Wedding (2001).  Habib Wali Mohammad's version of the song is also very popular. It is also a part of 'The Shruti Box', online music series by Shankar Tucker, where it was sung by Rohini Ravada. A.R. Rahman had performed this number in MTV Unplugged Season 2. 
In 2015, this song was recomposed by Strings for Coke Studio Pakistan and re-sung by Farida Khanum after a significant gap from music in the finale episode of eighth season, concluding their run of 2015 season.

The song was used in an episode of Crime Patrol broadcast on 9th Feb 2016 on Sony TV.

Arijit Singh also recreates Aaj jane ki zid na karo for upcoming TV show Naamkarann telecast on 'Star Plus' channel in August 2016. Arijit creates magic with his soulful voice.",Farida Khanum,1. What a beautiful song... Farida Khanum's voice is intoxicating,4,
,,,,2. The best rendition of this geet that I know of. I cannot stop listening to it. Highly recommended.,5,
,,,,,,
32,Aap ka Surroor(Album),"Call it a sequel to the chartbusting album Aap Ka Surroor - which rewrote history in music sales for a pop album in India. This soundtrack of Himesh Reshammiya’s debut movie is ubiquitous in all corners of the world. A brand in the making since the release of the music of ‘Aashiq Banaya Aapne’, the composer who has so far already essayed the role of a producer (TV Serials), composer and singer is back with a bang in business, with tunes targeted for the masses.
Messiah and Reshammiya were synonymous when producers of small budget movies saw rushes for their projects when the music caught on wildly with the masses. Promotional videos were being shot at brisk rate to secure box office success and the composer was featured in the videos, holding the mike in the cool-n-stylish manner. Termed as a hurricane in 2006, in terms of the never-seen-before storm created in the music charts since the arrival of the new millennium, Himesh Reshammiya’s name was on everyone’s lips and mind. Frenzy is an under-statement when his own music videos from his album were first aired. So much happened that acting was the next phase in his brand building. The awareness phase was over and proved to be the biggest hit of the brand building strategy. Charged with more energy, the team of Reshammiya-Sameer-Chadha are back to rock the world.

An air of aggressiveness is felt in the voice of Himesh Reshammiya in Assalaam Vaalekum– a loud voice is heard which reaches high notes and is quite rough in the rendering. Does the situation require vengeance? The rap genre is aptly mixed with Urdu words and add to that, the Reshammiya brand of music, which extracts sounds from soft rock to industrial-techno genres. The macho mood is confirmed with the male chorus supporting the singer while the rap portions infuse a certain break in this incomprehensible act of agitation in the singing. Lack of simplicity combined with the heavy pressure on the vocals, relegate the track to an average position.",Himesh Reshammiya,1. Himesh reshamiya is the very good looking man and his songs is always awesome. his all song lyks by youth. himesh reshamiya is the wonderfull icon of music industry. In the field of music he is one of the greatest and iconic person. his music touch all youth's heart. aapka suroor song is one of the best song who lyk by every youth. this song is the base of movie. So I can say thathimesh reshamiya songs is really wonderfull.,4,
,,,,"2. Reshammiya greets listeners with'Assalaam Vaalekum', a stage song where Reshammiya does what he is best at i.e. wear his trademark attire, bring mike close to his mouth and croon with an undisputed energy which is always witnessed when he is front of a live audience. A song in appreciation of the woman he loves, it is one of those rare Reshammiya numbers that takes more than just a couple of times to catch up on you.",3,
,,,,"3. Back in 2007, Himesh Reshammiyamade Aap Ka Suroor which was a musical blockbuster thatalso gave Hansika Motwani her first big break. Aap Ka Suroor was entertaining because Himesh didn’t take himself seriously and we got to enjoy some foot tapping tunes. Nine years later, the singer turned actor is back with Tera Suroor which is loosely based in concept on its predecessor but has better production values, lavish locales and a new girl(Farah Karimaee) opposite Himesh.",3,
,,,,"4. One of the hittest of its times, HImesh Reshammiya made a good debut in the world of music. I used to buy this music because there were lots of songs sung by him which was really awesome and fantastic. This music categorized into different songs which was hit every where. The songs were superb and and the lyrics and music was outstanding.

There was a style of keeping caps and it became a trend for the youths . The music was totally different from others and after a long time new style of songs were heard which makes him a superstar all around in the Bollywood.",4,
,,,,,,
