S. No.,Category Name,URL if available,Description(Minimum 80 words),Reviews,Rating,Images
16,Refrigerator,,"A refrigerator (colloquially fridge) is a popular household appliance
 that consists of a thermally insulated compartment and a heat pump
 (mechanical, electronic or chemical) that transfers heat from the
 inside of the fridge to its external environment so that the inside of 
the fridge is cooled to a temperature below the ambient temperature 
of the room. Refrigeration is an essential food storage technique in
 developed countries. The lower temperature lowers the 
reproduction rate of bacteria, so the refrigerator reduces the rate of 
spoilage. A refrigerator maintains a temperature a few degrees
 above the freezing point of water. Optimum temperature range for 
perishable food storage is 3 to 5 °C (37 to 41 °F).[1] A similar device
 that maintains a temperature below the freezing point of water is 
called a freezer. The refrigerator replaced the icebox, which had 
been a common household appliance for almost a century and a
 half. For this reason, a refrigerator is sometimes referred to as an
 icebox in American usage.
The first cooling systems for food involved using ice. Artificial
 refrigeration began in the mid-1750s, and developed in the early 
1800s. In 1834, the first working vapor-compression refrigeration 
system was built. The first commercial ice-making machine was
 invented in 1854. In 1913, refrigerators for home use were invented.
 In 1923 Frigidaire introduced the first self-contained unit. The
 introduction of Freon in the 1920s expanded the refrigerator market
 during the 1930s. Home freezers as separate compartments
 (larger than necessary just for ice cubes) were introduced in 1940
. Frozen foods, previously a luxury item, became commonplace.
Freezer units are used in households and in industry and commerce. 
Commercial refrigerator and freezer units were in use for almost 
40 years prior to the common home models. Most households[citation
 needed] use the freezer-on-top-and-refrigerator-on-bottom style,
 which has been the basic style since the 1940s. A vapor 
compression cycle is used in most household refrigerators, 
refrigerator–freezers and freezers. Newer refrigerators may include 
automatic defrosting, chilled water and ice from a dispenser in the door.
Domestic refrigerators and freezers for food storage are made in a
 range of sizes. Among the smallest is a 4 L Peltier refrigerator 
advertised as being able to hold 6 cans of beer. A large domestic
 refrigerator stands as tall as a person and may be about 1 m wide
 with a capacity of 600 L. Refrigerators and freezers may be free-
standing, or built into a kitchen. The refrigerator allows the modern
 family to keep food fresh for longer than before. Freezers allow 
people to buy food in bulk and eat it at leisure, and bulk purchases  ave money.","1. The body of the fridge is as flimsy as most other refrigerators available these days. The light bulb is attached to the door of the freezer and the intensity of illumination is poor. This bulb does not light up the whole inside of the refrigerator. I found this to be a serious drawback, especially due to my poor vision.",3,
,,,,2. Product is good. Very good cooling. The only -ve part is that it creates jerk with noise when compressor stops automatically. Other things are good,4,
,,,,3. We received a dark maroon colour and a different design refrigerator but its ok as we liked it also.. but storage capacity is not much though we cant expect more from 190 litres,3,
,,,,,,
17,Tie press,,"A tie press is a device, based solely on pressure, to flatten neckties.
 Its use is necessitated by ties usually being of silk or some other 
textile ill-suited to the heat of ironing.
Tie presses usually operate based on two separate wooden boards
 which are clamped together with spring-loaded levers. A cardboard 
cut-out is usually included to retain the shape of the tie during pressing.
Tie presses are particularly useful for bow ties, due to the creasing
 and thus deformative nature of the bow tie knot, which involves 
crushing the ends to produce the 'bow' effect. In time, this crushing
 affects the appearance of the finished knot. This is particularly the 
case with bow ties with rectangular ends, rather than the 'bow' 
shaped ends in some bow ties, though both suffer from crushing to 
some degree or another. Four-in-hand ties, naturally, are also 
creased, but rarely to the same extent and, as such, usually require 
less regular pressing.","1. Comparable pay, good benefits, good hours, I hear chances of advancements (not this branch). It CAN be a good company (as a whole) to work for.",3,
,,,,"2. Too many people (management) seems to be about themselves, making sure to secure their high paying jobs by throwing others under the bus. I have personally witnessed some going from person to person cutting down & pointing out faults of each other all while smiling to their face. No clear direct leadership, too many avenues to get ""help"" which leads to ""they said this.....well this one said no it's that"". There MAY be opportunities for advancement in other branches, but if anything like ours.....have thick skin, wear armor (for backstabbing), be careful what you say & even more careful who you trust. Can't advance by doing good, you get told ""you're so good at your job we can't afford to take you from it""?!? (Yes, I have been told that). Some want you to do good, just not better than them.",3,
,,,,,,
18,Toaster and toaster ovens,,"A toaster, or a toast maker, is a small electric appliance designed to 
brown or ""singe""[1] sliced bread by exposing it to radiant heat, thus 
converting it into toast. Toasters can toast multiple types of sliced
 bread products. Invented in Scotland in 1893, it was developed over
 the years, with the introduction of an automatic mechanism to stop
 the toasting and pop the slices up – the ""pop up toaster"" in 1919 
being a significant development. The most common household 
toasting appliances in the 2010s are the pop-up toaster and the
 toaster oven. Bread slices are inserted into slots in the top of a 
pop-up toaster, which make toast from bread in one to three minutes
 by using electric heating elements. Toasters have a control to
 adjust how much the appliance toasts the bread. Since the 2000s, 
pop-up toasters with wider slots have been manufactured, 
enabling them to toast bagels cut in half or thick-sliced ""Texas
 toast"". Another trend of the 2000s is the increasing availability of 
four-slice toasters.

Toaster ovens have a hinged door in the front that opens to allow 
food to be placed on a rack, which has heat elements above and 
below the grilling area. Toaster ovens function the same as a 
small-scale conventional oven. Toaster ovens typically have settings
 to toast bread and a temperature control for use of the appliance 
as an oven. Most are large enough to heat up a slice of pizza or a
 burrito and some larger models can be used to bake a small 
casserole.",1. I ordered this product after reading a lot of reviews and wasn't expecting much. But for the price this was a very pleasant surprise. As I'm new to baking I didn't wanna shell out a lot to get a oven (not sure when I'll get bored of it). Hence went for this Bajaj OTG and turns out its perfect for small bakes. Only thing you need to keep in mind is to use an oven mitten!,4,
,,,,2. Awesome product.... Full Paisa Vasool....,4,
,,,,3. its not big in size good enough for a so short family over all a good from bajaj family,3,
,,,,4. Reasonably good. The size is small than expected but its cost worthy.,3,
,,,,,,
19,Washing machine,,"A washing machine (laundry machine, clothes washer, or washer) is 
a machine used to wash laundry, such as clothing and sheets. The
 term is mostly applied to machines that use water as opposed to
 dry cleaning (which uses alternative cleaning fluids, and is performed 
by specialist businesses) or ultrasonic cleaners.Clothes washer
 technology developed as a way to reduce the manual labor spent, 
providing an open basin or sealed container with paddles or fingers
 to automatically agitate the clothing. The earliest machines were 
hand-operated and constructed from wood, while later machines
 made of metal permitted a fire to burn below the washtub, keeping
 the water warm throughout the day's washing.
The earliest special-purpose mechanical washing device was 
the washboard, invented in 1797 by Nathaniel Briggs of New
 Hampshire.
By the mid-1850s steam-driven commercial laundry machinery 
were on sale in the UK and US.[4] Technological advances in 
machinery for commercial and institutional washers proceeded 
faster than domestic washer design for several decades, 
especially in the UK. In the United States there was more 
emphasis 
on developing machines for washing at home, though machines 
for commercial laundry services were widely used in the late 
19th and early 20th centuries The rotary washing machine was
 patented by Hamilton Smith in 1858. As electricity was not 
commonly available until at least 1930, some early washing 
machines were operated by a low-speed, single-cylinder hit-and
-miss gasoline engine.
",1. This washing machine takes only 2 bucket of water for standard wash and 1 bucket for extra cycle of rinse for perfect wash. It has also very low vibration and noise.,4,
,,,,2. Its almost perfect except u r forced to purchase an adapter to fit the water inlet to ur tap/ angle cork,3,
,,,,"3. Awesome appliance,happy for product Less noise compared to other washing machine brands, Less power,child lock,fuzzy logic even my kids can handle the machine Good feature in affordablerice",4,
,,,,,,
20,Water cooker,,"An electric water boiler, also called a thermo pot, is a consumer 
electronics small appliance used for boiling waterand 
maintaining it at a constant temperature. It is typically used to provide 
an immediate source of hot water for making tea,[1] hot chocolate, 
coffee,instant noodles, or baby formula, or for any other household
 use where clean hot water is required. They are a common 
component of Japanese kitchens and the kitchens of many East
 Asian countries but are found in varying use globally. Some thermo
 pots are designed with a feature that can purify waterAn electric 
water boiler consists of a water reservoir with a heating element 
at the bottom. Some models offer multiple temperature settings. 
Other models are part of larger water systems that boil water and 
provide hot, cold, and lukewarm water. Water may be dispensed 
in various ways, e.g. by pouring, an electric pump or by pressing
 a large button that functions as a diaphragm pump. Electric water
 boilers have a built in thermostat that detects when water has 
reached its boiling point of 100 °C (212 °F) to automatically shut off",1. Fantastic Small Appliance - Easy Gourmet Cooking for Busy Home Chefs,4,
,,,,2. Great cooking results. Design needs some work.,2,
,,,,"3. Had it for 5 years, used regularly, and still works perfectly.",3,
,,,,"4. For 3 weeks my SVS worked like a charm. I cooked and enjoyed everything, duck confit, steak, short ribs, pork tenderloin, fish and shellfish, chicken, eggs, fruit, vegetables and desserts. Not everything was a huge success, but most of my experiments were either satisfactory or sublime. Two days ago the digital display indicated wide swings in temperature. I had set the temperature at 183 for several packages of vegetables after a few minutes it started to climb dramatically (well beyond 200). I dropped a probe into the tank to see what was going on, but my read was 136. It did the same thing the next day, so I just packed it up and shipped it back. I'm so disappointed, but wary of ordering another one.",2,
,,,,,,
21,Window fan,,"A window fan is a fan designed to be placed inside the frame of a
 window. Window fans have been used for many decades to maintain
 comfortable temperatures and ventilation within one's home, and 
operate at a tiny fraction of the cost of central air conditioning.
Window fans are designed to fit into open windows, and often have 
expandable side panels to cover the entire window opening.
 Most units have either one large fan, or two small fans mounted 
side by side.
Most window fans have two or three speeds, and some are 
electrically reversible so that the user can switch between intake
 and exhaust modes.
Manufacturers have added features to their models over the years.
 Some fans contain thermostats which will turn the fan off if the
 temperature drops to a certain point, or adjustable grilles to 
direct the flow of air in a particular direction. Other fans offer
 sophisticated electronic features such as a remote control, 
automatic shut-off timers, and dimmer-like variable-speed motor
 controls.
Most window fans today are made of plastic. Many older fans, 
however, are made of metal and are more solid. The more 
powerful window fans can be used to circulate air throughout a 
house, acting as a whole-house fan.",1. Its very poor in quality. I biught this fan because it said it was very silent. However within 3-4 days it has started to make noise. Very low transfer rate. Don't waste good money on this. Its just another ordinary exhaust fan. ,1,
,,,,"2. It is noisy. It produces uniform sound + some irregular sound in background which repeats itself after few seconds, and this irregular sound is irritating it makes me feel that something is wrong with fan.",2,
,,,,3. not really satisfied. too small and not as expected. 100mm suction was mentioned in listing but the item was not bigger than a exhaust used in PC.,1,
,,,,4. Speed is very low and I its over priced based on the functionality and speed. People should look other subsidiary product instead of this. ,1,
,,,,,,
22,Television,,"Television or TV is a telecommunication medium used for transmitting
 moving images in monochrome (black-and-white), or in color, and in
 two or three dimensions and sound. It can refer to a television set,
 a television program (""TV show""), or the medium of television
 transmission. Television is a mass medium, for entertainment,
 education, news, and advertising.
Television became available in crude experimental forms in the
 late 1920s, but these did not sell to the public. After World War
 II, an improved form of black-and-white TV broadcasting became
 popular in the United States and Britain, and television sets became 
commonplace in homes, businesses, and institutions. During the
 1950s, television was the primary medium for influencing public
 opinion.[1] In the mid-1960s, color broadcasting was introduced
 in the US and most other developed countries. The availability of
 storage media such as Betamax (1975), VHS tape (1976), DVDs
 (1997), and high-definition Blu-ray Discs (2006) enabled viewers
 to watch prerecorded material at home, such as movies. At the
 end of the first decade of the 2000s, digital television transmissions
 greatly increased in popularity. Another development was the move
 from standard-definition television (SDTV) (576i, with 576 interlaced
 lines of resolution and 480i) to high-definition television (HDTV), 
which provides a resolution that is substantially higher. HDTV may be
 transmitted in various formats: 1080p, 1080i and 720p. Since 2010, 
with the invention of smart television, Internet television has increased 
the availability of television programs and movies via the Internet through 
streaming video services such as Netflix, iPlayer, Hulu, Roku and Chromecast.
In 2013, 79% of the world's households owned a television setThe 
replacement of early bulky, high-voltage cathode ray tube (CRT) screen
displays with compact, energy-efficient, flat-panel alternative technologies
 such as plasma displays, LCDs (both fluorescent-backlit and LED), 
and OLED displays was a hardware revolution that began with computer
monitors in the late 1990s. Most TV sets sold in the 2000s were flat-
panel, mainly LEDs. Major manufacturers announced the discontinuation 
of CRT, DLP, plasma, and even fluorescent-backlit LCDs by the mid-
2010s.[3][4][5] LEDs are expected to be replaced gradually by OLEDs in
 the near future. Also
, major manufacturers have announced that they will increasingly produce
 smart TV sets in the mid-2010s.[7][8][9] Smart TVs with integrated Internet 
and Web 2.0 functions became the dominant form of television by the late 2010s","1. Perfect TV to buy. Awesome picture clarity and sound clarity. It gives a feeling of being in a cinema with its built in woofers. Got it at the best price. Keep up the Good work Sony. Loved its internet features and pendrive accessibility. The only problems are:- First, It does not allow screen mirroring with Samsung phones and all the 5 phones in my home are of Samsung. Secondly, the on-screen typing feature is boring and tedious. Otherwise, it is enhancing the show and look of my room. I recommend it to everyone.",5,
,,,,"2. Excellent Awesome Superb !!! I was having previously 32 inch LED of Samsung. I found, everything is far better than Samsung. Picture Quality, Sound Quality, Wi-Fi COnnectivity, Screen Mirroring. Final Words ""WOW WOW WOW""",4,
,,,,3. Tv sound is very very good. Sound lovers can go for it. When changing from tv channels to youtube its taking time. Like 3-4 minutes. Thats why 4 star.,3,
,,,,4. Many other brands are giving this specification TV at low prices but if you think quality & clarity matters .then go for this TV its awesome both video & audio crystal clear without distractions.,4,
,,,,,,
23,Attic fan,,"A powered attic ventilator, or attic fan, is a ventilation fan which
 regulates the heat level of a building's attic by exhausting hot air. A
 thermostat is used to automatically turn the fan off and on, while 
sometimes a manual switch is used. An attic fan can be gable 
mounted or roof mounted. Additional vents are required to draw in 
fresh air as the hot air is exhausted. Attic fans are typically used in 
warmer months, when temperatures in an attic can exceed 120 °F
 (49 °C). A fan may be installed in an attic for the different purpose of
cooling a while house, venting hot air out via the attic; such fans are
 often called whole-house fans. ",1. doesn't move the amount of air advertised. even on bright midday sun. had to hook up to a battery system to get full use . now we'll see how long it lasts. won't buy a second one. will look elsewere,3,
,,,,"2. Having been a heating & air conditioning contractor, I knew the value of attic exhaust fans: a properly sized fan can keep an attic at least 20 degrees cooler than a gravity-ventilated attic. And if your attic is cooler, your house will stay cooler. The problem is that most 120-volt attic exhaust fans are really noisy. The noise from gable-mounted fans isn't too obnoxious, but the noise from roof-mounted fans can drive you up the wall. (The roof membrane acts as a drum and amplifies both the motor vibrations and the 60-cycle hum.) IN CONTRAST, NATURAL LIGHT'S SOLAR OPERATED DC MOTOR IS SO QUIET, YOU HAVE TO GET RIGHT NEXT TO IT TO EVEN HEAR IT!

I'm very impressed with this product. It is well made, it has good installation instructions, it comes with an exceptional warranty, and if you need to talk to the manufacturer for any reason, Natural Light is very responsive.

The optional thermostat is worthwhile: it prevents the fan from running on a sunny (but cold) winter day.",4,
,,,,"3. Our crawl space is very difficult to move around, so the price of installing wire to power a traditional exhaust fan was prohibitive. So, solar was a practical choice.
Pros: Installation directions were very clear and easy to follow. Worked the moment the sun hit the panel (so keep it covered until fully installed!).
Cons: Not as powerful an exhaust as traditional fans, but does the job.
Hints: Strongly advise getting the thermostat.",2,
,,,,4. Expected more power to draw hot air out of attic.,2,
,,,,,,
24,Ceiling fan,,"A ceiling fan is a mechanical fan, usually electrically powered, 
suspended from the ceiling of a room, that uses hub-mounted rotating 
paddles to circulate air.
Casablanca Fan Co. ""Zephyr"" ceiling fan from the early 1980s.
A ceiling fan rotates much more slowly than an electric desk fan;
 it cools people effectively by introducing slow movement into the 
otherwise still, hot air of a room. Fans never actually cool air, unlike
 air-conditioning equipment, but use significantly less power 
(cooling air is thermodynamically expensive). Conversely, a ceiling
 fan can also be used to reduce the stratification of warm air in a
 room by forcing it down to affect both occupants' sensations and
 thermostat readings, thereby improving climate control energy efficiency.",1. ceiling fans are more comfortable and airfull comparision to wall fan.,3,
,,,,"2.many design are available in the market ,they increase the beauty of the room. ",3,
,,,,3.reduce the power cost and increase the cooling of the room .,2,
,,,,4. 4 blade Ceiling fans cover the big room with air.,5,
,,,,,,
25,Garbage disposal unit,,"A garbage disposal unit (also known as a garbage disposal, waste 
disposal unit, garbage disposer, or in Canadian English a garburator)
 is a device, usually electrically powered, installed under a kitchen 
sink between the sink's drain and the trap. The disposal unit shreds
food waste into pieces small enough—generally less than 2 mm
 (0.079 in)—to pass through plumbing
Garbage disposal units are extensively used in United States 
households, but far less commonly used elsewhere.",1. SoundSeal Technology which delivers ultra-quiet performance versus a standard disposer,3,
,,,,"2. 26 oz. Grind chamber with galvanized steel grind system
1/3 Horsepower Dura-Rive Induction Motor ",3,
,,,,"3.MultiGrind Technology , with three grind stages to quickly grind virtually any food waste",3,
,,,,,,
26,Flame supervision device,,"For gas appliances, a flame supervision device (FSD) – alternative 
name: flame failure device (FFD) – is a general term for any device
 designed to stop flammable gas going to the burner of a gas appliance
 if the flame is extinguished. This is to prevent a dangerous buildup of
 gas within the appliance, its chimney or the room.[1] Causes of flame
 failure include chimney downdraught, temporary interruption of the gas 
supply, gas under-pressure, liquid overspill on cooker hotplates or the
 draught from an oven door being opened and closed.
FSDs may utilize one of several technologies: thermoelectric valves,
 flame conductance, flame rectification, ultraviolet sensing devices 
and liquid expansion valves.[1] FSDs are found on all modern gas
 appliances.[citation needed]
Cooker hotplates may not have a FSD on each burner. If a hotplate is
 to be used in a multi-occupancy building every burner must have its
 own FSD.
When the FSD activates it should stop (or reduce to safe levels) gas
 flow to the burner until it is reset manually.
Older devices, such as bimetallic strips, were used in conjunction 
with pilot lights. The pilot light is no longer used in new devices, but may
 still be encountered on old appliances still in service.[1] Pilot lights were
 withdrawn for two reasons: their continual small flame represented a
 waste of fuel and also the FSD protected only the main burner, not the 
pilot. If the pilot was extinguished, there was still the risk of a small gas
 leakage.
Regular testing of FSD is a part of routine maintenance for gas appliances.
Other safety devices may be fitted in addition to an FSD. One type of these
 are the Vititation Sensing Devices,[3] that detect an adequate supply of 
oxygen for efficient combustion, thus avoiding the production of poisonous 
carbon monoxide. As well as detecting a blocked supply of oxygen, these
 must also detect a blocked exhaust or reversed flow in the exhaust flue
 owing to wind conditions. Two methods are used to provide these, an 
Oxygen Depletion System (ODS) that measures the availability of oxygen 
for combustion or an Atmospheric Sensing Device (ASD) measures 
excess heat rise in the exhaust.",1.I needed 2 items for my broken Cannon Cooker. eSpares helped me identify the parts needed. I ordered them and they arrived within a couple of days. Both have been installed and the cooker is working. Great sevice and genuine parts.,3,
,,,,"2.FSDs may utilize one of several technologies: thermoelectric valves, flame conductance, flame rectification, ultraviolet sensing devices and liquid expansion valves.[1] FSDs are found on all modern gas appliances",4,
,,,,"3.this is good for house wife ,heating problem is not avialable.",3,
,,,,,,
27,Bread machine,,"A bread making machine or bread maker is a home appliance for 
baking bread. It consists of a bread pan (or ""tin""), at the bottom of 
which are one or more built-in paddles, mounted in the center of a 
small special-purpose oven. This small oven is usually controlled 
by a simple built-in computer using settings input via a control panel
. Most bread machines have different cycles for different kinds of
 dough—including white bread, whole grain, European-style 
(sometimes labelled ""French""), and dough-only (for pizza dough
 and shaped loaves baked in a conventional oven). Many also have 
a timer to allow the bread machine to activate without operator 
attendance, and some high-end models allow the user to program
 a custom cycle.","1.Up to a 2.0 lb. loaf capacity, ideal...
12 bread settings and 3 crust settings...
Expressbake setting bakes bread in under.",,
,,,,2. these machines were a luxury and only found in a few high-end outlets. Povide good bread .,,
,,,,3.They come with numerous pre programmed settings that give you versatility in your recipes. You can even mix it up with ingredients like fruits cheese and nuts.and getting good and taste bread.,,
,,,,,,
28,Corn roaster,,"A corn roaster is a large grill for cooking large batches of ears of corn
 at the same time. The term ""corn roaster"" can also refer to a person
 who roasts corn.[1][2][3] Corn roaster machines have existed in the 
United States since at least 1900.[4] Corn roasters are used by 
concession vendors at festivals, fairs, events, parties and holidays, 
such as the Fourth of July in the United States.[5][6] Roasted corn is
 a very popular festival food in the American South, Southwest and 
Northwest. Corn roasters can also cook foods such as turkey legs 
potatoes and sweet potatoes. They may also be used by street food
 vendors. Street vendors may operate seasonally, per the 
seasonality of corn crops.[8] Some organizations that operate corn
 roasters at events, such as fairs, donate their proceeds to charities.
Many commercial corn roasters come mounted on a trailer. The corn 
roasters use LPG for fuel. Smaller versions exist, such as rotary corn
 roasters that can be placed on a table,[10] and some corn roasters 
are homemade",1.Many brands are available in the market because this is also a good appliance.,4,
,,,,"2.In the india ,before some time they are not use any type of machine for corn roaster but now having branded roasters for there comfortable service.",3,
,,,,3.Electric corn Double 2 layers automatic rotating corn roasting machine grilled corn machine.this is good .,3,
,,,,,,
29,Electric cooker,,"An electric cooker is an electric powered cooking device for heating 
and cooking of food. An electric cooker often has four stoves and one 
or two ovens. There will be knobs to determine the temperature of
 the ovens and stoves. Unlike gas stoves that are powered by gas,
 it is powered by electricity. Usually they have four rings on top of the
 hob.
Besides stoves or ranges, common types include hot plates, slow
cookers (or crock pots), electric toasters, rice cookers, electric
teakettles, and the now obsolete Dub Cookers.",1. Using  electric cooker save natural resources and increase the taste of your food.,3,
,,,,"2.Choosing the wrong size can make using your pressure cooker frustrating. On the other hand, a size that is ideal for the number of people in your family is more likely to become a go-to piece of equipment in your kitchen. be alert according yur requirement.",4,
,,,,3.increasing food quality and decrease risk .,5,
,,,,,,
30,Fire pot,,"A fire pot is a container, usually earthenware, for carrying fire. Fire pots
 have been used since prehistoric times to transport fire from one
place to another, for warmth while on the move, for cooking, in religious
 ceremonies and even as weapons of war. Fire pots were vital to the 
development of civilization. Once humans had learned to contain, 
control and sustain fires, they had an invaluable tool for cooking
 food that would have otherwise not been edible. Fire pots were
 also useful for sharpening spears, hollowing out canoes, baking
 pottery, and many other tasks, such as staying warm.
At first, humans relied on natural fires, caused by lightning strikes 
or other natural occurrences, to provide them with a flame to start
 their own fires. Since natural fires are not very common, humans
 learned how to make fires by igniting tinder from sparks caused
 by striking stones together, or by creating friction using a bow drill.
Given the time-consuming nature of early firestarting, humans 
eventually began to use earthenware vessels, or fire pots, in 
which slow-burning fires could by kept alight indefinitely by using
 small quantities of fuel. Nomadic people could carry these small
 fires with them, using them to start larger fires for their evening
 camps.
Archaeologists found that fire pots were being used 10,000, or 
more, years ago, according to finds during the 1936-37 dig in 
Fells Cave ,[1] of which is located in the valley of the Rio Chico, 
not far from the Strait of Magellan.
Semi-nomadic and sedentary people would have made or 
acquired more advanced types of fire pots, as opposed to the fully 
nomadic people who would have used more primitive types. Being
 more sedentary, people were able to more effectively work with clay,
 and would have kilns to bake the pottery in, instead of using the 
traditional fire-baking methods.",,,
,,,,,,
31,Food steamer,,"A food steamer or steam cooker is a small kitchen appliance used to 
cook or prepare various foods with steam heat by means of holding
 the food in a sealed vessel that limits the escape of air or liquids 
below a preset pressure. This manner of cooking is called steaming. 
Food steamers have been used for centuries. The ancient Chinese
 used pottery steamers to cook food. Archaeological excavations
 have uncovered pottery cooking vessels known as yan steamers; 
a yan composed of two vessel, a zeng with perforated floor 
surmounted on a pot or caldron with a tripod base and a top cover. 
The earliest yan steamer dating from about 5000 BC was unearthed
 in the Banpo site.[1] In the lower Yangzi River, zeng pots first 
appeared in the Hemudu culture (5000–4500 BC) and Liangzhu 
culture (3200–2000 BC) and used to steam rice; there are also yan
 steamers unearthed in several Liangzhu sites, including 3 found
 at the Chuodun and Luodun sites in southern Jiangsu.[2] In the 
Longshan culture (3000–2000 BC) site at Tianwang in western 
Shandong, 3 large yan steamers were discovered","1. Steam healthy vegetables for authentic Asian stir fry dinners for your family, with the All Clad Stainless Steel Steamer",2,
,,,,2. occupy less space in the kitchen  and provide more fuctionality good for health.,3,
,,,,"3.The versatility of the All Clad Stainless Steel Steamer is endless! Whether it’s broccoli or a hearty vegetable medley, you will enjoy the exceptional quality ",3,
,,,,,,
32,Hot plate,,"This type of cooking equipment is typically powered by electricity; 
however, gas fired hot plates were not uncommon in the 19th and
 20th century and are still available in various markets around the 
world.A hot plate is a portable self-contained tabletop small 
appliance that features one, two or more electric heating elements 
or gas burners. A hot plate can be used as a stand alone appliance
, but is often used as a substitute for one of the burners from an 
oven range or a kitchen stove. Hot plates are often used for food 
preparation, generally in locations where a full kitchen stove would
 not be convenient or practical. A hot plate can have a flat surface,
 or round surface. Hot plates can be used for traveling, when you 
have no power, or out in the woods.","1. Looking for a new double burner to replace your old one? Or perhaps, having a kitchen remodel",2,
,,,,2. we would like to recommend three different portable double burners that fit well with today’s modern kitchen dÃ©cor and provide maximum versatility to users,3,
,,,,"3. home cooked food is the all-time favorite and getting the right double burner is essential to provide you a professional, ideal solution.",4,
,,,,,,
33,Mess kit,,"A mess kit is a collection of silverware and cookware used during 
camping and backpacking, as well as extended military campaigns. 
There are many varieties of mess kits available to consumers, and
 militaries commonly provide and have historically provided them to
 their troops.While functionally similar to a one-man civilian mess kit,
 military mess kits are designed to be even more compact, using
 their space as efficiently as possible. Thus lids will almost always
 be used for preparing, cooking, and/or eating, and usually come in
 two or three pieces. As such, it may sacrifice certain features, or use 
other features to complement it.
When in a large camp, it is common for soldiers to use either normal 
dining wares, or a multi-compartment mess tray similar to a TV 
Dinner tray, but much larger.","1.My wife and I used this along with some older cookware on our three day camping trip. I did a little research online and read the differences between stainless steel products and aluminum. Aluminum ones are a lot cheaper but are not as forgiving when cooking over a campfire. You definitely want a stainless steel mess kit!
The mess kit came in a small blue polyester bag with a drawstring. It isn't a very big mess kit but its good enough when cooking for two. When the pan is hot you don't have to worry about the handle burning you because of the way it's designed.
After cooking breakfast I went off to clean the cookware. My aluminum set had to be scrubbed hard even after soaking but this stainless steel mess kit took almost no effort at all. It was very great!
When it comes time to put it away you will find that it all nests very neatly inside itself. The pot and lid sit inside the pan and the bowl sits upside down on top of the pan to make a lid. The handle then folds over to lock it all in place. It is a very nice compact set.
I recommend this to anyone looking for a small compact mess kit for one or two people.
",4,
,,,,"2. this set is plenty lightweight for the backpacker on a budget. ALWAYS buy stainless steel instead of aluminum for cooking on/in. The only two gripes I have about this set are: 1) the frying pan's lid/plate isn't useful as a lid because it lacks a handle of any kind, so it couldn't be removed if hot 2) the ""locking handle"" on the frying pan only locks the whole set closed, but it does NOT lock into the open/extended position as pictured, so, while pouring/tilting the pan, the handle could fold up and result in an irritating or painful accident. In practice, however, this can be avoided if you don't tilt it too close to vertical.",4,
,,,,3.I purchased this for my backpacking trips and it continues to serve me well after many miles and many meals cook. I use a MSR Whisperlight stove with this kit,5,
,,,,"4.When I ordered the kit, I expected something good and able to get the job done. What I didn't expect, was this kit. It's amazing and VERY easy to transport. You can easily fit it in an assault pack, or other backpack. You might even be able to fit it in BDU pants (haven't tried that).
",4,
,,,,,,
34,Pancake machine,,"A pancake machine is an electrically-powered machine that 
automatically produces cooked pancakes.[1] It is believed that the
 earliest known pancake machine was invented in the United States
 in 1928.[2] Several types of pancake machines exist that perform in 
various manners, for both commercial and home use. Some are fully
 automatic in operation, while others are semi-automatic. Some 
companies mass-produce pancake machines, and some have been
 homemade. The Happy Egg Company constructed a novelty 
pancake machine in 2013 in commemoration of Pancake Day in
 the United Kingdom.",1.Making pancakes in the morning has never been easier. Handy Gourmet has created a product to allow for instant and easy pancake making,3,
,,,,"2.I bought one of these right before Christmas. With my 30% off coupon and their sale price this exact same maker cost me $12.00. It works great, BUT you really do have to spray it before poring in the batter or it will stick. Other than that this is great... fluffy, uniform sized pancakes every time!! :)",4,
,,,,"3.Not a bad product once you get used to the ""flip"". Cooks evenly and is fun to use. Saves having to heat up the stove for small batches. I use it together with mt mini pancake maker and mini waffle maker. Makes for an interesting breakfast.",4,
,,,,"4.This is a replacement for one I already had, but has worn out from use over the last 10 years. I am gluten-free and pancakes on the stove don't always cook in the center when they are done on the outside, this cooks them perfectly. I am so glad they released another one, I had been looking for awhile. Great for families, my daughters also love to use this.",,
,,,,5. Definitely a must have for those who love eating pancakes.,4,
,,,,,,
